"Address","Zip","District","TotalRecords","SevereConditions","DisplacementNotices","RedevelopPermits","ExemptionPermits","NoHeatComplaints","NoWaterComplaints","SewageComplaints","EvictionNotices","OpenUnresolved","YearsActive","Typology","chronic_severe","severe_plus_rdev","disp_plus_rdev"
"308 4TH AVE S","98104","2","162","50","21","0","0","18","3","3","10","58","2004;2005;2007;2009;2010;2011;2012;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"430 12TH AVE E","98102","3","79","47","5","0","0","23","4","0","4","16","2004;2005;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024","ChronicNeglector|UtilityLever","1","0","0"
"1727 SUMMIT AVE","","3","98","45","0","0","0","21","0","0","0","22","2007;2008;2009;2010;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"","","","1280","43","48","21","0","8","3","9","23","344","2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025","PermitNeglector|RedevelopDisplacer|UtilityLever","1","1","1"
"1102 8TH AVE","98101","7","120","39","16","0","0","14","4","2","7","39","2003;2009;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"9434 DELRIDGE WAY SW","98106","1","60","37","5","0","0","18","3","0","2","12","2008;2010;2011;2013;2014;2015;2017;2018;2019;2020;2021;2022;2024","ChronicNeglector|UtilityLever","1","0","0"
"9061 SEWARD PARK AVE S","98118","2","106","36","9","0","0","4","4","4","8","28","2005;2006;2007;2008;2009;2011;2012;2013;2014;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"1621 17TH AVE","98122","3","91","35","0","0","0","0","0","0","0","86","2022;2023;2024;2025","ChronicNeglector","1","0","0"
"915 E HARRISON ST","98102","3","59","34","4","0","0","15","0","0","1","14","2006;2007;2009;2011;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"201 YESLER WAY","98104","1","100","34","9","0","0","19","2","0","6","48","2011;2013;2016;2017;2018;2019;2020;2021;2022;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"3621 33RD AVE S","98144","2","161","34","18","0","0","5","1","3","8","51","2006;2007;2010;2011;2012;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"800 SENECA ST","98101","7","135","28","11","0","0","21","1","5","7","63","2013;2016;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"1110 8TH AVE","98101","7","72","27","16","0","0","9","3","0","6","24","2008;2009;2014;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"1902 2ND AVE","98101","7","60","26","6","0","0","8","1","0","4","20","2009;2011;2012;2013;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
"7429 RAINIER AVE S","98118","2","28","25","3","0","0","0","3","0","2","3","2004;2008;2009;2011;2012;2013;2016;2017;2018;2019;2020;2021;2024","ChronicNeglector|UtilityLever","1","0","0"
"13751 32ND AVE NE","98125","5","46","25","3","0","0","4","0","3","3","7","2009;2010;2011;2013;2016;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|UtilityLever","1","0","0"
