"Address","Zip","District","TotalComplaintRecs","SevereConditions","DisplacementNotices","EvictionNotices","OpenUnresolved","NoHeatComplaints","NoWaterComplaints","SewageComplaints","PermitMatch","TotalPermits","Demolitions","ECA_Exemptions","Add_Alterations","New_Construction","ChangeOfUse","HousingUnitsRemoved","HousingUnitsAdded","OwnerOccClaims","FirstSevereDate","FirstDisplacementDate","FirstDemoPermitDate","LastPermitDate","SevereBeforeDemo","DispNearDemo","YearsActive","Typology"
"308 4TH AVE S","98104","2","162","50","21","10","58","18","3","3","1","15","0","0","9","1","0","0","0","0","2004 SEP 03 12:00:00 AM","2010 NOV 10 12:00:00 AM","","2017-04-27","0","0","2004;2005;2007;2009;2010;2011;2012;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|PermitNeglector"
"430 12TH AVE E","98102","3","79","47","5","4","16","23","4","0","1","1","0","0","0","0","0","0","0","0","2004 FEB 11 12:00:00 AM","2015 SEP 24 12:00:00 AM","","2020-10-16","0","0","2004;2005;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024","ChronicNeglector"
"1727 SUMMIT AVE","","3","98","45","0","0","22","21","0","0","1","5","0","0","2","0","0","0","0","0","2007 NOV 05 12:00:00 AM","","","2024-04-03","0","0","2007;2008;2009;2010;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector"
"","","","1280","43","48","23","344","8","3","9","0","0","0","0","0","0","0","0","0","0","","","","","0","0","2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector"
"1102 8TH AVE","98101","7","120","39","16","7","39","14","4","2","1","9","0","0","5","0","0","0","0","0","2012 DEC 21 12:00:00 AM","2016 OCT 31 12:00:00 AM","","2021-07-16","0","0","2003;2009;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector|PermitNeglector"
"9434 DELRIDGE WAY SW","98106","1","60","37","5","2","12","18","3","0","1","4","0","0","2","0","0","0","0","0","2008 APR 02 12:00:00 AM","2017 DEC 20 12:00:00 AM","","2019-07-30","0","0","2008;2010;2011;2013;2014;2015;2017;2018;2019;2020;2021;2022;2024","ChronicNeglector"
"9061 SEWARD PARK AVE S","98118","2","106","36","9","8","28","4","4","4","1","43","0","1","42","0","0","0","0","0","2007 FEB 12 12:00:00 AM","2017 APR 17 12:00:00 AM","","2014-03-18","0","0","2005;2006;2007;2008;2009;2011;2012;2013;2014;2017;2018;2019;2020;2021;2022;2023;2024;2025","PermitNeglector"
"1621 17TH AVE","98122","3","91","35","0","0","86","0","0","0","1","4","0","0","2","0","0","0","0","0","2022 DEC 09 12:00:00 AM","","","2025-02-07","0","0","2022;2023;2024;2025","ChronicNeglector"
"3621 33RD AVE S","98144","2","161","34","18","8","51","5","1","3","1","11","0","1","7","0","0","0","0","0","2007 OCT 25 12:00:00 AM","2014 SEP 25 12:00:00 AM","","2016-04-04","0","0","2006;2007;2010;2011;2012;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025","PermitNeglector"
"201 YESLER WAY","98104","1","100","34","9","6","48","19","2","0","1","3","1","0","2","0","0","0","0","0","2011 SEP 15 12:00:00 AM","2021 AUG 31 12:00:00 AM","2005-11-17","2013-07-10","0","0","2011;2013;2016;2017;2018;2019;2020;2021;2022;2024;2025","PermitNeglector|RedevelopDisplacer"
"915 E HARRISON ST","98102","3","59","34","4","1","14","15","0","0","1","2","0","0","1","0","0","0","0","0","2006 FEB 03 12:00:00 AM","2011 OCT 11 12:00:00 AM","","2024-04-01","0","0","2006;2007;2009;2011;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector"
"800 SENECA ST","98101","7","135","28","11","7","63","21","1","5","1","4","0","0","1","1","0","0","0","0","2023 JUN 14 12:00:00 AM","2021 OCT 14 12:00:00 AM","","2016-09-12","0","0","2013;2016;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector"
"1110 8TH AVE","98101","7","72","27","16","6","24","9","3","0","0","0","0","0","0","0","0","0","0","0","2014 APR 04 12:00:00 AM","2022 AUG 02 12:00:00 AM","","","0","0","2008;2009;2014;2017;2018;2019;2020;2021;2022;2023;2024;2025","ChronicNeglector"
