RecordNum,RecordType,RecordTypeMapped,RecordTypeDesc,Description,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalZip,Link,Latitude,Longitude,Location1,OpenMonth,OpenYear,OpenQuarter,LastInspMonth,LastInspYear,LastInspQuarter,NoInspDate T/F,NoInspResult T/F,OpenToLastInspDays,District,CP,VI,CT,RecordTypeDescBlank,No_Heat,No_Hot_Water,Gas_Shutoff,HAB,EVIC,DISP,RENT,PERMIT,LEGAL,Plumbing,Mold,Pests,Appliances,Electrical,Fire_Safety,Structural,Trash_Site,Tenant_Rights,Security_Retaliation
005240-08CP,Complaint,Request,"Construction , Emergency",,2008 Sep 23 12:00:00 AM,2008 Sep 23 12:00:00 AM,Completed,Completed,670 S JACKSON ST,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005240-08CP,47.59939271,-122.32408033,"(47.59939271, -122.32408033)",9,2008,3,9,2008,3,False,False,0,2,True,False,False,False,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
1017403-VI,Notice of Violation,Case,"Construction , Emergency",,2008 Sep 23 12:00:00 AM,2010 Mar 23 12:00:00 AM,Compliance Achieved,Completed,670 S JACKSON ST,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1017403-VI,47.59939271,-122.32408033,"(47.59939271, -122.32408033)",9,2008,3,3,2010,1,False,False,546,2,False,True,False,False,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
001121-09CP,Complaint,Request,"Construction , Emergency",Landslide onto Rainier Ave S.,2009 Jan 14 12:00:00 AM,2009 Jan 09 12:00:00 AM,Completed,Completed,9743 RAINIER AVE S,98118,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001121-09CP,47.51526795,-122.25381443,"(47.51526795, -122.25381443)",1,2009,1,1,2009,1,False,False,-5,2,True,False,False,False,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
1018239-VI,Notice of Violation,Case,"Construction , Emergency",Landslide onto Rainier Ave S.,2009 Jan 14 12:00:00 AM,2009 Mar 05 12:00:00 AM,Compliance Achieved,Completed,9743 RAINIER AVE S,98118,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1018239-VI,47.51526795,-122.25381443,"(47.51526795, -122.25381443)",1,2009,1,3,2009,1,False,False,50,2,False,True,False,False,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
003448-13CP,Complaint,Request,"Construction , Emergency",Retaining wall beginning to fail adj to sidewalk along the north and east sides of the property.,2013 Jul 03 12:00:00 AM,2013 Jul 05 12:00:00 AM,Completed,Completed,1715 S COLLEGE ST,98144,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003448-13CP,47.5828247,-122.30977348,"(47.5828247, -122.30977348)",7,2013,3,7,2013,3,False,False,2,2,True,False,False,False,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
003778-13CP,Complaint,Request,"Construction , Emergency",Retaining wall collapsing onto sidewalk.,2013 Jul 23 12:00:00 AM,2015 Sep 29 12:00:00 AM,Completed,Completed,4563 33RD AVE S,98118,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003778-13CP,47.56102032,-122.29143146,"(47.56102032, -122.29143146)",7,2013,3,9,2015,3,False,False,798,2,True,False,False,False,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
003803-13CP,Complaint,Request,"Construction , Emergency","Per 7/22/13 online complaint (rec'd the affternoon of 7/24/13): ""Vacant house with overgrown yard encroaching on sidewalk. Front yard retaining wall is spilling over onto sidewalk."" since 6/1/2012***Retaining wall failed onto public sidewalk since 6/1/12***",2013 Jul 24 12:00:00 AM,2013 Jul 26 12:00:00 AM,Completed,Completed,4561 33RD AVE S,98118,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003803-13CP,47.56109733,-122.29127264,"(47.56109733, -122.29127264)",7,2013,3,7,2013,3,False,False,2,2,True,False,False,False,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false
004980-13CP,Complaint,Request,"Construction , Emergency","Per 10/1/13 complaint filed with CSB: ""This house is slated for demo, but in the meantime. The yard and parking strip is overgrown, the garage roof has collapsed, and the brick wall of the garage fronting the alley is unsupported and is in danger of collapsing into the alley.""***Garage roof has collapsed - now concerned that brick wall of garage on alley is going to collapse.***",2013 Oct 03 12:00:00 AM,2013 Oct 07 12:00:00 AM,Completed,Completed,2302 15TH AVE S,98144,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004980-13CP,47.58283615,-122.31309616,"(47.58283615, -122.31309616)",10,2013,4,10,2013,4,False,False,4,2,True,False,False,False,false,false,false,true,false,true,false,false,false,false,false,false,false,true,false,true,true,false,false
005911-13CP,Complaint,Request,"Construction , Emergency",Fire damaged building.,2013 Dec 26 12:00:00 AM,2013 Dec 26 12:00:00 AM,Completed,Completed,669 S KING ST,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005911-13CP,47.5979709,-122.32397089,"(47.5979709, -122.32397089)",12,2013,4,12,2013,4,False,False,0,2,True,False,False,False,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
1031123-VI,Notice of Violation,Case,"Construction , Emergency",Fire damaged building.,2013 Dec 27 12:00:00 AM,2015 May 13 12:00:00 AM,Compliance Achieved,Completed,669 S KING ST,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1031123-VI,47.5979709,-122.32397089,"(47.5979709, -122.32397089)",12,2013,4,5,2015,2,False,False,502,2,False,True,False,False,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
