RecordNum,RecordType,RecordTypeMapped,RecordTypeDesc,Description,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalZip,Link,Latitude,Longitude,Location1,OpenMonth,OpenYear,OpenQuarter,LastInspMonth,LastInspYear,LastInspQuarter,NoInspDate T/F,NoInspResult T/F,OpenToLastInspDays,District,CP,VI,CT,RecordTypeDescBlank,No_Heat,No_Hot_Water,Gas_Shutoff,HAB,EVIC,DISP,RENT,PERMIT,LEGAL,Plumbing,Mold,Pests,Appliances,Electrical,Fire_Safety,Structural,Trash_Site,Tenant_Rights,Security_Retaliation
001002-03CP,Complaint,Request,Construction,Concerned about RV pumpout that is currently being installed.  Too close to property line and concerned someone will be living in trailer in SF zone.,2003 Nov 10 12:00:00 AM,2003 Nov 10 12:00:00 AM,Completed,Completed,512 N 79TH ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001002-03CP,47.68639169,-122.35191884,"(47.68639169, -122.35191884)",11,2003,4,11,2003,4,False,False,0,6,True,False,False,False,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
001039-03CP,Complaint,Request,Construction,Building deck within 5 ft of property line.,2003 Nov 12 12:00:00 AM,2003 Nov 19 12:00:00 AM,Completed,Completed,6527 DIVISION AVE NW,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001039-03CP,47.67681431,-122.36687895,"(47.67681431, -122.36687895)",11,2003,4,11,2003,4,False,False,7,6,True,False,False,False,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
001078-03CP,Complaint,Request,Construction,Owner preparing vacant lot for sale.  Putting in pin pilings w/o permit to make it more desirable. ECA - slide area.,2003 Nov 14 12:00:00 AM,2003 Nov 18 12:00:00 AM,Completed,Completed,2332 PERKINS LN W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001078-03CP,47.6385075,-122.41078989,"(47.6385075, -122.41078989)",11,2003,4,11,2003,4,False,False,4,6,True,False,False,False,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false
001082-03CP,Complaint,Request,Construction,constructing 2 carports w/o permit,2003 Nov 14 12:00:00 AM,2003 Nov 17 12:00:00 AM,Completed,Completed,3831 34TH AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001082-03CP,47.65500068,-122.40134234,"(47.65500068, -122.40134234)",11,2003,4,11,2003,4,False,False,3,6,True,False,False,False,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
001110-03CP,Complaint,Request,Construction,"Installing gas connections, ventillation ducting and roof fan w/o permit @ Molly Maguires.",2003 Nov 18 12:00:00 AM,2003 Nov 19 12:00:00 AM,Completed,Completed,610 NW 65TH ST,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001110-03CP,47.67617239,-122.36422918,"(47.67617239, -122.36422918)",11,2003,4,11,2003,4,False,False,1,6,True,False,False,False,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
001118-03CP,Complaint,Request,Construction,No handrails - only posts - for wheel chair ramp in the back of parking lot.,2003 Nov 18 12:00:00 AM,2003 Nov 19 12:00:00 AM,Completed,Completed,4749 BALLARD AVE NW,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001118-03CP,47.66353655,-122.38065246,"(47.66353655, -122.38065246)",11,2003,4,11,2003,4,False,False,1,6,True,False,False,False,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false
001126-03CP,Complaint,Request,Construction,building carport w/o permit,2003 Nov 19 12:00:00 AM,2003 Nov 17 12:00:00 AM,Completed,Completed,3825 34TH AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001126-03CP,47.65486474,-122.4013673,"(47.65486474, -122.4013673)",11,2003,4,11,2003,4,False,False,-2,6,True,False,False,False,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
001143-03CP,Complaint,Request,Construction,side sewer work w/o permit--dumpimg dirt down storm drain,2003 Nov 20 12:00:00 AM,2003 Nov 21 12:00:00 AM,Completed,Completed,7051 MARY AVE NW,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001143-03CP,47.68103992,-122.37602626,"(47.68103992, -122.37602626)",11,2003,4,11,2003,4,False,False,1,6,True,False,False,False,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false
001145-03CP,Complaint,Request,Construction,ELECTRICAL AND PLUMBING WORK INSIDE W/O PERMIT. CHANGING ENTRANCE AREA TO THE BUILDING.,2003 Nov 21 12:00:00 AM,2003 Dec 03 12:00:00 AM,Completed,Completed,618 NW 65TH ST,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001145-03CP,47.67617239,-122.36422918,"(47.67617239, -122.36422918)",11,2003,4,12,2003,4,False,False,12,6,True,False,False,False,false,false,false,true,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false
001181-03CP,Complaint,Request,Construction,"No temporary erosion control: stockpiles are partially uncovered and there is surcharge from stockpiles.  Also, property line issues.",2003 Dec 01 12:00:00 AM,2003 Dec 01 12:00:00 AM,Completed,Completed,2309 NW 65TH ST,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001181-03CP,47.67579077,-122.38575283,"(47.67579077, -122.38575283)",12,2003,4,12,2003,4,False,False,0,6,True,False,False,False,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
001241-03CP,Complaint,Request,Construction,Building more than one dwelling unit in SF zone. Building not per plan #732902.Installing septic tank today (12/3/03) without permit. Upset that construction not complete (no activity for a couple of months) and that new home is much larger than all of the other homes in the neighborhood.,2003 Dec 05 12:00:00 AM,2003 Dec 08 12:00:00 AM,Completed,Completed,6541 CHAPIN PL N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001241-03CP,47.67715297,-122.33031264,"(47.67715297, -122.33031264)",12,2003,4,12,2003,4,False,False,3,6,True,False,False,False,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false
001267-03CP,Complaint,Request,Construction,"From online 12/6/03 complaint (received 12/8/03): ""A landslide has occurred in the last month on the bluff (west) side of the property. Owner has placed tarps over the edge. I am concerned about safety to building occupants and or neighbors.""",2003 Dec 09 12:00:00 AM,2003 Dec 12 12:00:00 AM,Completed,Completed,7409 34TH AVE NW,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001267-03CP,47.68270698,-122.4009169,"(47.68270698, -122.4009169)",12,2003,4,12,2003,4,False,False,3,6,True,False,False,False,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false
001335-03CP,Complaint,Request,Construction,"Turning existing temporary storage structure for sailboat (which sits on property line btw 6016 & 6020 - 8th av NW) into a permanent 2-story building with windows, walls and roof w/o permit.",2003 Dec 16 12:00:00 AM,2004 Feb 12 12:00:00 AM,Completed,Completed,6016 8TH AVE NW,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001335-03CP,47.6729166,-122.36584639,"(47.6729166, -122.36584639)",12,2003,4,2,2004,1,False,False,58,6,True,False,False,False,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false
001401-03CP,Complaint,Request,Construction,ADDING A 2ND STORY TO ACCESSORY BUILDING W/O PERMIT,2003 Dec 23 12:00:00 AM,2003 Dec 24 12:00:00 AM,Completed,Completed,825 NW 51ST ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001401-03CP,47.66546344,-122.3674708,"(47.66546344, -122.3674708)",12,2003,4,12,2003,4,False,False,1,6,True,False,False,False,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
001441-03CP,Complaint,Request,Construction,"Not being built per plan (#738904)--10"" too close to 2313 NW 65th St.",2003 Dec 30 12:00:00 AM,2004 Jan 06 12:00:00 AM,Completed,Completed,2309 NW 65TH ST,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001441-03CP,47.67579077,-122.38575283,"(47.67579077, -122.38575283)",12,2003,4,1,2004,1,False,False,7,6,True,False,False,False,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
1001044-VI,Notice of Violation,Case,Construction,constructing 2 carports w/o permit,2003 Nov 20 12:00:00 AM,2004 Dec 13 12:00:00 AM,Compliance Achieved,Completed,3831 34TH AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001044-VI,47.65500068,-122.40134234,"(47.65500068, -122.40134234)",11,2003,4,12,2004,4,False,False,389,6,False,True,False,False,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
1001045-VI,Notice of Violation,Case,Construction,building carport w/o permit,2003 Nov 20 12:00:00 AM,2005 Jul 12 12:00:00 AM,Compliance Achieved,Completed,3825 34TH AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001045-VI,47.65486474,-122.4013673,"(47.65486474, -122.4013673)",11,2003,4,7,2005,3,False,False,600,6,False,True,False,False,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
1001092-VI,Notice of Violation,Case,Construction,ELECTRICAL AND PLUMBING WORK INSIDE W/O PERMIT. CHANGING ENTRANCE AREA TO THE BUILDING.,2003 Dec 04 12:00:00 AM,2003 Dec 09 12:00:00 AM,Compliance Achieved,Completed,618 NW 65TH ST,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001092-VI,47.67617239,-122.36422918,"(47.67617239, -122.36422918)",12,2003,4,12,2003,4,False,False,5,6,False,True,False,False,false,false,false,true,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false
1001103-VI,Notice of Violation,Case,Construction,side sewer work w/o permit--dumpimg dirt down storm drain,2003 Dec 08 12:00:00 AM,2003 Dec 25 12:00:00 AM,Compliance Achieved,Completed,7051 MARY AVE NW,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001103-VI,47.68103992,-122.37602626,"(47.68103992, -122.37602626)",12,2003,4,12,2003,4,False,False,17,6,False,True,False,False,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false
1001195-VI,Notice of Violation,Case,Construction,ADDING A 2ND STORY TO ACCESSORY BUILDING W/O PERMIT,2003 Dec 31 12:00:00 AM,2005 Sep 26 12:00:00 AM,Compliance Achieved,Completed,825 NW 51ST ST,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001195-VI,47.66546344,-122.3674708,"(47.66546344, -122.3674708)",12,2003,4,9,2005,3,False,False,635,6,False,True,False,False,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false
001046-04CP,Complaint,Request,Construction,"Not building per plan. Owner is framing an entire 3rd-story living space, which is much larger than the addition allowed per permit #735024. Getting electricity from south neighbor via 3 or 4 power extension cords.",2004 Jan 08 12:00:00 AM,2004 Jan 14 12:00:00 AM,Completed,Completed,8814 30TH AVE NW,98117,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001046-04CP,47.69352473,-122.39551897,"(47.69352473, -122.39551897)",1,2004,1,1,2004,1,False,False,6,6,True,False,False,False,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false
