Category,Keyword,Hit_Count,Pct_of_D7
Appliances,broken,605,2.36
Appliances,no heat,340,1.33
Appliances,heater,233,0.91
Appliances,inoperable,161,0.63
Appliances,toilet,139,0.54
Appliances,laundry,120,0.47
Appliances,washer,106,0.41
Appliances,flooded,95,0.37
Appliances,stove,90,0.35
Appliances,refrigerator,72,0.28
Appliances,dryer,70,0.27
Appliances,washing machine,43,0.17
Appliances,washer leaking,36,0.14
Appliances,fridge,32,0.13
Appliances,heater not working,21,0.08
Appliances,washing machine out,17,0.07
Appliances,no washer,14,0.05
Appliances,microwave,11,0.04
Appliances,living room heater,9,0.04
Appliances,stove out,7,0.03
Appliances,laundry facilities,6,0.02
Appliances,toilet seat,4,0.02
Appliances,unit gets flooded,2,0.01
Appliances,microwave work orders,0,0.0
Appliances,stoveneeds repair,0,0.0
Appliances,toilet seat cover,0,0.0
DISP,DEMO,564,2.2
DISP,RELOCAT,564,2.2
DISP,TRAO,399,1.56
DISP,DEMOLITION,373,1.46
DISP,TENANT RELOCATION,313,1.22
DISP,DISPLACE,180,0.7
DISP,REDEVELOP,82,0.32
DISP,CHANGE OF USE,44,0.17
DISP,CONVERSION,12,0.05
DISP,CONSTRUCTION DISPLACE,7,0.03
DISP,CASH FOR KEYS,0,0.0
DISP,MASS VACATE,0,0.0
DISP,VACATE ORDER,0,0.0
EVIC,EVICTION,289,1.13
EVIC,EVICT,278,1.09
EVIC,WRIT,273,1.07
EVIC,MOVE OUT,238,0.93
EVIC,3 DAY,171,0.67
EVIC,unauthorized entry,105,0.41
EVIC,RETALIAT,94,0.37
EVIC,PAY OR VACATE,71,0.28
EVIC,VACATE NOTICE,46,0.18
EVIC,10-DAY,43,0.17
EVIC,locked out,42,0.16
EVIC,JUST CAUSE,37,0.14
EVIC,LOCKOUT,35,0.14
EVIC,14-DAY,34,0.13
EVIC,evicted,27,0.11
EVIC,NOTICE TO TERMINATE,26,0.1
EVIC,entered without notice,25,0.1
EVIC,3-DAY,14,0.05
EVIC,LEASE TERMINAT,14,0.05
EVIC,NOTICE TO PAY OR VACATE,9,0.04
EVIC,changed the locks,9,0.04
EVIC,CHANGED LOCK,5,0.02
EVIC,kicked out,5,0.02
EVIC,forced out,5,0.02
EVIC,SHERIFF,2,0.01
EVIC,UNLAWFUL DETAINER,1,0.0
EVIC,kicked me out,1,0.0
Electrical,electrical,561,2.19
Electrical,ELECTRICAL,561,2.19
Electrical,fuse,315,1.23
Electrical,power,257,1.0
Electrical,no lights,143,0.56
Electrical,wiring,133,0.52
Electrical,WIRING,133,0.52
Electrical,electrician,103,0.4
Electrical,outlet,88,0.34
Electrical,no power,87,0.34
Electrical,breaker,51,0.2
Electrical,light fixture,48,0.19
Electrical,shock,13,0.05
Electrical,lights in bathroom,0,0.0
Fire_Safety,fire,786,3.07
Fire_Safety,alarm,195,0.76
Fire_Safety,SMOKE,128,0.5
Fire_Safety,smoke,128,0.5
Fire_Safety,FIRE HAZARD,102,0.4
Fire_Safety,fire alarm,62,0.24
Fire_Safety,detector,48,0.19
Fire_Safety,CARBON MONOXIDE,19,0.07
Fire_Safety,carbon monoxide,19,0.07
Fire_Safety,faulty fire alarm,1,0.0
HAB,LEAK,728,2.85
HAB,NO WATER,676,2.64
HAB,MOLD,659,2.58
HAB,hazard,631,2.47
HAB,ELECTRICAL,561,2.19
HAB,ELEVATOR,430,1.68
HAB,NO HEAT,340,1.33
HAB,INFEST,340,1.33
HAB,FLOOD,309,1.21
HAB,LEAD,280,1.09
HAB,dangerous,276,1.08
HAB,PLUMBING,250,0.98
HAB,HEATER,233,0.91
HAB,RATS,195,0.76
HAB,MICE,193,0.75
HAB,STRUCTURAL,172,0.67
