RECORDNUM,ADDRESS,ZIP,DISTRICT,OPENDATE,OPENYEAR,STATUS,LASTINSPRESULT,RECORDTYPE,CATEGORIES,HIT_PHRASES,HAS_PERMIT_OVERLAP,DESCRIPTION_SNIPPET
"001014-03CP","10001 51ST AVE SW","98146","1","2003 NOV 10 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","DISPLACEMENT_CONSTRUCT","DEMOLITION","YES","DEMOLITION IN AN ECA AFTER OCTOBER 31. DEMOLITION IS CAUSING TREMENDOUS VIBRATION - CAN IT BE SUGGESTED TO THE OWNER TO USE A JACK HAMMER OR ANYTHING ELSE OTHER THAN THE METHOD WHICH IS BEING USED: DROPPING THE FRONT END LOADER ONTO THE FOUNDATION LI"
"001049-03CP","7860 LAKE CITY WAY NE","98115","4","2003 NOV 12 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","EXCAVATING AND POURING FOUNDATION/CONCRETE WITHOUT A PERMIT."
"001064-03CP","14334 FREMONT AVE N","98133","5","2003 NOV 13 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","GRADING WITHOUT A PERMIT."
"001067-03CP","14338 FREMONT AVE N","98133","5","2003 NOV 13 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","GRADING WITHOUT A PERMIT."
"001088-03CP","5212 ERSKINE WAY SW","98136","1","2003 NOV 17 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","BUILDING A TWO CAR GARAGE IN THE BACK YARD WITHOUT A PERMIT."
"001102-03CP","9019 AURORA AVE N","98103","5","2003 NOV 17 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","MOLD_MOISTURE","ROOF LEAK","YES","RESTAURANT ROOF LEAKS; RESTAURANT LEASES BLDG; BLDG OWNERS REFUSE TO REPLACE ROOF; RESTAURANT ASKED STRUCTURAL ENGINEER TO LOOK AT ROOF AND HE SAID THAT IT IS DANGEROUS AND NEEDS REPAIR; THEY WILL CLOSE RESTAURANT IF WE SAY IT IS A HAZARD"
"001131-03CP","707 S TRENTON ST","98108","1","2003 NOV 19 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","ADDITION TO THE SIDE OF THE HOUSE WITHOUT A PERMIT. VIEW FROM ALLEY."
"001177-03CP","11 W RAYE ST","98119","7","2003 NOV 25 12:00:00 AM","2003","COMPLETED","","REQUEST","DISPLACEMENT_CONSTRUCT","DEMOLISH","YES","GARAGE DEMOLISHED WITHOUT PERMIT."
"001189-03CP","3507 SW SEOLA LN","98146","1","2003 DEC 01 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","SLIDE REPAIR WITHOUT A PERMIT.  CONCERNED THAT CHILDREN PLAYING IN THIS AREA WILL BE BURIED BY A POTENTIAL SLIDE AND THAT EMERGENCY VEHICLES WILL NOT HAVE ACCESS IF THERE IS A SLIDE.  THINKS SOMEONE SHOULD COME OUT THERE IMMEDIATELY."
"001191-03CP","1635 2ND AVE W","98119","7","2003 DEC 02 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","ALL WALLS ARE TORN DOWN TO THE STUDS.  ADDING 5 FEET IN THE BACK TO THE KITCHEN.  NO PERMITS.  NEW OWNER."
"001215-03CP","7907 48TH AVE S","98118","2","2003 DEC 04 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","REMODELLING BASEMENT, KITCHEN AND BEDROOM, NEW PLUMBING, NO PERMITS. VISIBLE FROM SIDEWALK."
"001235-03CP","5061 SW GRAYSON ST","98116","1","2003 DEC 05 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","BUILDING ROCKERY ON 51ST ST SW--NO PERMIT--EROSION CONTROL PROBLEMS"
"001281-03CP","703 24TH AVE S","98144","3","2003 DEC 11 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","WITHOUT A PERMIT","YES","CONSTRUCTION WORK WITHOUT A PERMIT."
"001307-03CP","4017 22ND AVE SW","98106","1","2003 DEC 12 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","WORK_WITHOUT_PERMIT","NO PERMIT","YES","SIDE SEWER WORK ON STEEP SLOPE--NO PERMIT"
"001326-03CP","1244 S CONCORD ST","98108","1","2003 DEC 16 12:00:00 AM","2003","COMPLETED","COMPLETED","REQUEST","DISPLACEMENT_CONSTRUCT","DEMOLISH","YES","DEMOLISHING SFR WHILE DETACHED CARPORT REMAINS STANDING.NOTE: WORK NOT PER PLAN (#739094)? VAS"
