ï»¿RecordNum,RecordType,RecordTypeMapped,RecordTypeDesc,Description,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalZip,Link,Latitude,Longitude,Location1,OpenMonth,OpenYear,OpenQuarter,LastInspMonth,LastInspYear,LastInspQuarter,NoInspDate T/F,NoInspResult T/F,OpenToLastInspDays,District,CP,VI,CT,RecordTypeDescBlank,HealthSafetyHabitability,HarassmentRetaliationDisplacement,RightsViolations
006710-20CP,Complaint,Request,"Construction , LandLord/Tenant","The property owner has been renting out this house for several months to 8 renters, but is still not showing as active on the Rental Registration & Inspection Ordinance. The property still has open permits and has not completed all inspections, including structural inspections to make sure the home is safe to live in. The tenants also stated there is incomplete construction work and one bathroom is non-functional. The property owner is also increasing rents for the current ten",2020 Aug 05 12:00:00 AM,,,Closed,2017 NE Ravenna BLVD,,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006710-20CP,47.66910669,-122.30569227,"(47.66910669, -122.30569227)",8,2020,3,,,,True,True,,4,True,False,False,False,True,False,True
001058-21CP,Complaint,Request,"Construction , LandLord/Tenant",doing demo of basement w/o permit - knocking now beams in basement causing upstairs to incur damages - need to know about tenant rights,2021 Feb 08 12:00:00 AM,,,Closed,2558 NE 91ST ST,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001058-21CP,47.69501406,-122.29898463,"(47.69501406, -122.29898463)",2,2021,1,,,,True,True,,4,True,False,False,False,False,False,True
001335-04CP,Complaint,Request,Emergency,"No gas (gas co. took meter). No heat, no water,  no stove, and no dryer (all operates on gas). Gas co. said that Keith Gilbert would have to pay at least $2K and put account in another person's name before they will reinstall meter and turn gas back on (currently several of his houses are in arrears with gas co.). This is the 2nd time in 3 months that gas has been turned off. Trash in hallways and junkies in house.Notified Keith Gilbert verbally--has not notified in writing (fears retaliation--",2004 Feb 04 12:00:00 AM,2004 Feb 05 12:00:00 AM,Completed,Completed,6534 15TH AVE NE,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001335-04CP,47.67684493,-122.31167455,"(47.67684493, -122.31167455)",2,2004,1,2,2004,1,False,False,1,4,True,False,False,False,True,True,False
004937-04CP,Complaint,Request,Emergency,"This is a Sisley house, no heat, no kitchen, no ceiling in kitchen, they only have space heaters, there is a stove and a refrigerator that do work.",2004 Dec 13 12:00:00 AM,2004 Dec 28 12:00:00 AM,Completed,Completed,1403 NE 65TH ST,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004937-04CP,47.67559628,-122.31291387,"(47.67559628, -122.31291387)",12,2004,4,12,2004,4,False,False,15,4,True,False,False,False,True,False,False
1001438-VI,Notice of Violation,Case,Emergency,"No gas (gas co. took meter). No heat, no water,  no stove, and no dryer (all operates on gas). Gas co. said that Keith Gilbert would have to pay at least $2K and put account in another person's name before they will reinstall meter and turn gas back on (currently several of his houses are in arrears with gas co.). This is the 2nd time in 3 months that gas has been turned off. Trash in hallways and junkies in house.Notified Keith Gilbert verbally--has not notified in writing (fears retaliation--",2004 Feb 05 12:00:00 AM,,,Completed,6534 15TH AVE NE,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001438-VI,47.67684493,-122.31167455,"(47.67684493, -122.31167455)",2,2004,1,,,,True,True,,4,False,True,False,False,True,True,False
1001588-VI,Notice of Violation,Case,Emergency,"No gas (gas co. took meter). No heat, no water,  no stove, and no dryer (all operates on gas). Gas co. said that Keith Gilbert would have to pay at least $2K and put account in another person's name before they will reinstall meter and turn gas back on (currently several of his houses are in arrears with gas co.). This is the 2nd time in 3 months that gas has been turned off. Trash in hallways and junkies in house.Notified Keith Gilbert verbally--has not notified in writing (fears retaliation--",2004 Feb 24 12:00:00 AM,,,Completed,6534 15TH AVE NE,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001588-VI,47.67684493,-122.31167455,"(47.67684493, -122.31167455)",2,2004,1,,,,True,True,,4,False,True,False,False,True,True,False
1001590-CT,Citation,Case,Emergency,housing citation,2004 Feb 24 12:00:00 AM,,,Completed,6534 15TH AVE NE,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001590-CT,47.67684493,-122.31167455,"(47.67684493, -122.31167455)",2,2004,1,,,,True,True,,4,False,False,True,False,False,False,False
1004183-VI,Notice of Violation,Case,Emergency,"This is a Sisley house, no heat, no kitchen, no ceiling in kitchen, they only have space heaters, there is a stove and a refrigerator that do work.",2004 Dec 28 12:00:00 AM,2005 Jan 05 12:00:00 AM,Compliance Achieved,Completed,1403 NE 65TH ST,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1004183-VI,47.67559628,-122.31291387,"(47.67559628, -122.31291387)",12,2004,4,1,2005,1,False,False,8,4,False,True,False,False,True,False,False
1004199-VI,Notice of Violation,Case,Emergency,"This is a Sisley house, no heat, no kitchen, no ceiling in kitchen, they only have space heaters, there is a stove and a refrigerator that do work.",2004 Dec 30 12:00:00 AM,,,Completed,1403 NE 65TH ST,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1004199-VI,47.67559628,-122.31291387,"(47.67559628, -122.31291387)",12,2004,4,,,,True,True,,4,False,True,False,False,True,False,False
1004200-VI,Notice of Violation,Case,Emergency,"This is a Sisley house, no heat, no kitchen, no ceiling in kitchen, they only have space heaters, there is a stove and a refrigerator that do work.",2004 Dec 30 12:00:00 AM,,,Completed,1403 NE 65TH ST,98115,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1004200-VI,47.67559628,-122.31291387,"(47.67559628, -122.31291387)",12,2004,4,,,,True,True,,4,False,True,False,False,True,False,False
