RecordNum,District,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalZip,Link,HealthSafetyHabitability,HarassmentRetaliationDisplacement,RightsViolations,HealthSafetyTermsFound,HarassmentTermsFound,RightsTermsFound
011174-18CP,6,2018 Dec 17 12:00:00 AM,2018 Dec 24 12:00:00 AM,Completed,Completed,106 N 83RD ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=011174-18CP,False,True,False,,pota|trao,
002083-15CP,6,2015 Mar 12 12:00:00 AM,2015 Mar 13 12:00:00 AM,Completed,Completed,3612 LEARY WAY NW,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002083-15CP,True,False,False,no water|no electricity|no power,,
006948-15CP,6,2015 Oct 29 12:00:00 AM,2015 Oct 30 12:00:00 AM,Completed,Completed,2359 N 62ND ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006948-15CP,True,False,False,sewage|raw sewage,,
007323-15CP,6,2015 Nov 20 12:00:00 AM,2015 Nov 20 12:00:00 AM,Completed,Completed,3610 PHINNEY AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007323-15CP,True,False,False,leak|roof leak,,
007619-15CP,6,2015 Dec 14 12:00:00 AM,2015 Dec 14 12:00:00 AM,Completed,Completed,100 N 39TH ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007619-15CP,True,False,False,leak,,
1034188-VI,6,2015 Mar 13 12:00:00 AM,,,Completed,3612 LEARY WAY NW,98107,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1034188-VI,True,False,False,no water|no electricity|no power,,
1036192-VI,6,2015 Nov 20 12:00:00 AM,2015 Nov 20 12:00:00 AM,Compliance Achieved,Completed,3610 PHINNEY AVE N,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1036192-VI,True,False,False,leak|roof leak,,
1036273-VI,6,2015 Dec 07 12:00:00 AM,,,NOV Issued,2359 N 62ND ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1036273-VI,True,False,False,sewage|raw sewage,,
1036338-VI,6,2015 Dec 14 12:00:00 AM,2015 Dec 18 12:00:00 AM,Compliance Achieved,Completed,100 N 39TH ST,98103,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1036338-VI,True,False,False,leak,,
001322-17CP,6,2017 Jan 23 12:00:00 AM,2017 Jan 23 12:00:00 AM,Completed,Completed,4311 35TH AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001322-17CP,True,False,False,leak,,
