RecordNum,District,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalZip,Link,HealthSafetyHabitability,HarassmentRetaliationDisplacement,RightsViolations,HealthSafetyTermsFound,HarassmentTermsFound,RightsTermsFound
011424-19CP,7,2019 Dec 11 12:00:00 AM,2019 Dec 26 12:00:00 AM,Completed,Completed,3018 14TH AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=011424-19CP,True,True,False,mold|toxic mold|asbestos,because i complained,
011718-23CP,7,2023 Oct 02 12:00:00 AM,,,Completed,420 WALL ST,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=011718-23CP,True,False,False,no ventilation|asbestos,,
001148-15CP,7,2015 Jan 13 12:00:00 AM,2015 Jan 13 12:00:00 AM,Completed,Completed,822 6TH AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001148-15CP,True,False,False,no heat,,
006361-15CP,7,2015 Sep 29 12:00:00 AM,2015 Sep 29 12:00:00 AM,Completed,Completed,2058 14TH AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006361-15CP,True,False,False,water damage|mold|hazard,,
006911-15CP,7,2015 Oct 28 12:00:00 AM,2015 Oct 28 12:00:00 AM,Completed,Completed,702 2ND AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006911-15CP,True,False,False,no heat,,
1033760-VI,7,2015 Jan 15 12:00:00 AM,,,Completed,822 6TH AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1033760-VI,True,False,False,no heat,,
1035769-VI,7,2015 Sep 30 12:00:00 AM,2015 Oct 02 12:00:00 AM,Compliance Achieved,Completed,2058 14TH AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1035769-VI,True,False,False,water damage|mold|hazard,,
1035877-VI,7,2015 Oct 14 12:00:00 AM,2016 Jan 13 12:00:00 AM,Compliance Achieved,Completed,2058 14TH AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1035877-VI,True,False,False,water damage|mold|hazard,,
006423-16CP,7,2016 Sep 13 12:00:00 AM,2016 Sep 14 12:00:00 AM,Completed,Completed,807 NEWTON ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=006423-16CP,True,False,False,sewage,,
007297-16CP,7,2016 Oct 27 12:00:00 AM,2016 Oct 28 12:00:00 AM,Completed,Completed,1102 8TH AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007297-16CP,True,False,False,no water,,
007946-16CP,7,2016 Dec 13 12:00:00 AM,2016 Dec 13 12:00:00 AM,Completed,Completed,903 9TH AVE,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007946-16CP,True,False,False,no heat,,
008048-16CP,7,2016 Dec 19 12:00:00 AM,2016 Dec 19 12:00:00 AM,Completed,Completed,3039 HUMES PL W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008048-16CP,True,False,False,no heat|infestation|rodent|hazard|fire hazard,,
008135-16CP,7,2016 Dec 27 12:00:00 AM,2016 Dec 27 12:00:00 AM,Completed,Completed,823 MADISON ST,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=008135-16CP,True,False,False,no heat,,
1038422-VI,7,2016 Sep 14 12:00:00 AM,2017 Aug 03 12:00:00 AM,Compliance Achieved,Completed,807 NEWTON ST,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1038422-VI,True,False,False,sewage,,
1039072-VI,7,2016 Dec 13 12:00:00 AM,2016 Dec 16 12:00:00 AM,Compliance Achieved,Completed,903 9TH AVE,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1039072-VI,True,False,False,no heat,,
1039107-VI,7,2016 Dec 19 12:00:00 AM,2017 Jan 04 12:00:00 AM,Compliance Achieved,Completed,3039 HUMES PL W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1039107-VI,True,False,False,no heat|infestation|rodent|hazard|fire hazard,,
1039124-VI,7,2016 Dec 21 12:00:00 AM,2017 Jan 04 12:00:00 AM,Compliance Achieved,Completed,3039 HUMES PL W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1039124-VI,True,False,False,no heat|infestation|rodent|hazard|fire hazard,,
001378-17CP,7,2017 Jan 25 12:00:00 AM,2017 Jan 27 12:00:00 AM,Completed,Completed,119 W ROY ST,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001378-17CP,True,False,False,no heat,,
007433-17CP,7,2017 Oct 17 12:00:00 AM,2017 Oct 17 12:00:00 AM,Completed,Completed,2230 4TH AVE,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007433-17CP,True,False,False,mold|black mold,,
