RecordNum,RecordType,RecordTypeMapped,RecordTypeDesc,Description,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalZip,Link,Latitude,Longitude,Location1,OpenMonth,OpenYear,OpenQuarter,LastInspMonth,LastInspYear,LastInspQuarter,NoInspDate T/F,NoInspResult T/F,OpenToLastInspDays,District,CP,VI,CT,RecordTypeDescBlank,HealthSafetyHabitability,HarassmentRetaliationDisplacement,RightsViolations
011424-19CP,Complaint,Request,"Construction , LandLord/Tenant","I was recruited to work on a remodel at 3018 14th Ave West. It is a large building with 8 bedrooms that the owner, Matthew Strax-Haber, plans to turn into an Air bnb. I was told I would receive free housing if I worked 2 days a week for the owner, and he said he needed me long term for a year.  He's trying to do the remodel under the radar without city permits. Now because I complained about some of the work being dangerous, and with asbestos and toxic mold, he told me I need",2019 Dec 11 12:00:00 AM,2019 Dec 26 12:00:00 AM,Completed,Completed,3018 14TH AVE W,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=011424-19CP,47.64718659,-122.37458973,"(47.64718659, -122.37458973)",12,2019,4,12,2019,4,False,False,15,7,True,False,False,False,True,True,False
004640-21CP,Complaint,Request,"Construction , LandLord/Tenant",Owner performingrenovations withoutpermits.  Propernotice is not givento tenants.,2021 Jun 17 12:00:00 AM,2021 Jun 22 12:00:00 AM,Completed,Completed,1522 TAYLOR AVE N,98109,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004640-21CP,47.63297673,-122.34574677,"(47.63297673, -122.34574677)",6,2021,2,6,2021,2,False,False,5,7,True,False,False,False,False,False,False
011718-23CP,Complaint,Request,"Construction , LandLord/Tenant","Caller says demolitionhas started and hehas not been movedout.  He stated hebelieves there isasbestos present,and no ventilationcausing breathingproblems.  He stated he has been begging management to move him out of theunit. He also mentioned, he doesn't believe there was anypermits issue.",2023 Oct 02 12:00:00 AM,,,Completed,420 WALL ST,98121,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=011718-23CP,47.61724473,-122.34595159,"(47.61724473, -122.34595159)",10,2023,4,,,,True,True,,7,True,False,False,False,True,False,False
005234-24CP,Complaint,Request,"Construction , LandLord/Tenant","Complaint Regarding Denial of Amenities and Unpermitted Construction Work at The OlivianIssue Summary:1. Denial of Amenities:The Olivian has denied tenants access to various amenities due to ongoing construction work. These amenities have been inaccessible since at least 10/11/2022 and continued through most of 2023. Despite repeated requests, the property management has not provided tenants with copies of any permits related to this construction.2. Lack of Permits:There are no",2024 May 18 12:00:00 AM,2024 Jun 21 12:00:00 AM,Completed,Completed,809 OLIVE WAY,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005234-24CP,47.61397452,-122.33352833,"(47.61397452, -122.33352833)",5,2024,2,6,2024,2,False,False,34,7,True,False,False,False,False,False,False
001092-03CP,Complaint,Request,Emergency,NO HEAT SINCE OCT. 30TH. (GAS) ONLY 2 GROUNDED OUTLETS. IF SHE USES MORE THEN 2 OUTLET IT BLOWS FUSE.,2003 Nov 17 12:00:00 AM,2003 Nov 17 12:00:00 AM,Completed,Completed,3450 22ND AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001092-03CP,47.65186042,-122.38442042,"(47.65186042, -122.38442042)",11,2003,4,11,2003,4,False,False,0,7,True,False,False,False,True,False,False
001705-04CP,Complaint,Request,Emergency,,2004 Mar 05 12:00:00 AM,2004 Mar 05 12:00:00 AM,Completed,Completed,1214 8TH AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001705-04CP,47.60993559,-122.32987408,"(47.60993559, -122.32987408)",3,2004,1,3,2004,1,False,False,0,7,True,False,False,False,False,False,False
004282-04CP,Complaint,Request,Emergency,HAS NO HEAT. HAS NO TURNED BOILER ON.,2004 Oct 04 12:00:00 AM,2004 Oct 04 12:00:00 AM,Completed,Completed,100 W OLYMPIC PL,98119,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004282-04CP,47.62692408,-122.35827863,"(47.62692408, -122.35827863)",10,2004,4,10,2004,4,False,False,0,7,True,False,False,False,True,False,False
1001671-VI,Notice of Violation,Case,Emergency,,2004 Mar 05 12:00:00 AM,,,Completed,1214 8TH AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001671-VI,47.60993559,-122.32987408,"(47.60993559, -122.32987408)",3,2004,1,,,,True,True,,7,False,True,False,False,False,False,False
1001717-VI,Notice of Violation,Case,Emergency,,2004 Mar 10 12:00:00 AM,2004 Mar 11 12:00:00 AM,Compliance Achieved,Completed,1214 8TH AVE,98101,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1001717-VI,47.60993559,-122.32987408,"(47.60993559, -122.32987408)",3,2004,1,3,2004,1,False,False,1,7,False,True,False,False,False,False,False
002615-05CP,Complaint,Request,Emergency,power has been shut off for 3-4 weeks,2005 May 31 12:00:00 AM,2005 Jun 01 12:00:00 AM,Completed,Completed,2214 THORNDYKE AVE W,98199,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002615-05CP,47.63885321,-122.38712338,"(47.63885321, -122.38712338)",5,2005,2,6,2005,2,False,False,1,7,True,False,False,False,False,False,False
