address_norm,example_raw_address,DISTRICT,elevator_complaint_count,first_elevator_complaint_date,last_elevator_complaint_date,sfd_elevator_rescue_count,first_rescue_date,last_rescue_date,sfd_rescue_at_address_flag,conveyance_active_record_count,conveyance_active_flag,conveyance_active_record_numbers,conveyance_active_record_types,conveyance_active_property_project_names,conveyance_active_statuses,conveyance_active_first_created_date,conveyance_active_last_created_date,conveyance_no_cert_record_count,conveyance_no_cert_flag,conveyance_no_cert_record_numbers,conveyance_no_cert_record_types,conveyance_no_cert_property_project_names,conveyance_no_cert_statuses,conveyance_no_cert_first_created_date,conveyance_no_cert_last_created_date,has_both_complaint_and_rescue_flag,days_first_complaint_to_first_rescue
100 MELROSE AVE E,100 MELROSE AVE E,3.0,2,2019-07-11,2019-08-10,3,2022-03-09,2025-02-10,True,0,False,,,,,,,2,True,EQP-CY-04104 | EQP-CY-01382,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 3187 | 2-P - Cabled Elevator, City # 3188",Operating Without Certificate,1989-08-17,1990-10-26,True,972.0
100 TAYLOR AVE N,100 TAYLOR AVE N,7.0,1,2025-06-10,2025-06-10,5,2021-11-25,2025-03-27,True,2,True,EQP-CY-07101 | EQP-CY-07100,Conveyance Equipment Certification,"2-A - Cabled Elevator, City # 9602 | 1-A - Cabled Elevator, City # 9600",Active,2009-06-22,2009-06-22,0,False,,,,,,,True,-1293.0
1000 8TH AVE,1000 8TH AVE,7.0,2,2016-04-18,2025-03-09,2,2024-03-13,2025-06-01,True,6,True,EQP-CY-02867 | EQP-CY-02866 | EQP-CY-02865 | EQP-CY-02864 | EQP-CY-02863 | EQP-CY-02862,Conveyance Equipment Certification,"2-3 - Cabled Elevator, City # 616 | 2-2 - Cabled Elevator, City # 615 | 2-1 - Cabled Elevator, City # 614 | 1-3 - Cabled Elevator, City # 613 | 1-2 - Cabled Elevator, City # 612 | 1-1 - Cabled Elevator, City # 611",Active,1990-02-02,1990-02-02,0,False,,,,,,,True,2886.0
1000 UNION ST,1000 UNION ST,3.0,1,2022-07-26,2022-07-26,2,2021-04-12,2021-07-22,True,1,True,EQP-CY-01416,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 2728",Active,1989-08-17,1989-08-17,0,False,,,,,,,True,-470.0
101 W OLYMPIC PL,101 W OLYMPIC PL,7.0,1,2025-07-03,2025-07-03,4,2020-11-01,2025-12-25,True,2,True,EQP-CY-01899 | EQP-CY-01898,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 1430 | 1-P - Cabled Elevator, City # 1429",Active,1989-10-27,1989-10-27,0,False,,,,,,,True,-1705.0
1011 E TERRACE ST,1011 E TERRACE ST,2.0,1,2025-07-16,2025-07-16,2,2021-12-22,2023-07-28,True,0,False,,,,,,,2,True,EQP-CY-05450 | EQP-CY-05449,Conveyance Equipment Certification,"2 - Hydraulic Elevator, City # 7222 | 1 - Hydraulic Elevator, City # 7221",Operating Without Certificate,2000-01-31,2000-01-31,True,-1302.0
1011 WESTERN AVE,1011 WESTERN AVE,7.0,1,2024-01-29,2024-01-29,2,2024-03-13,2025-07-24,True,4,True,EQP-CY-03384 | EQP-CY-03383 | EQP-CY-03382 | EQP-CY-03381,Conveyance Equipment Certification,"4-P - Cabled Elevator, City # 4714 | 3-P - Cabled Elevator, City # 4713 | 2-P - Cabled Elevator, City # 4712 | 1-P - Cabled Elevator, City # 4711",Active,1990-04-05,1990-04-05,0,False,,,,,,,True,44.0
1017 BOREN AVE,1017 BOREN AVE,3.0,1,2022-09-16,2022-09-16,1,2023-12-30,2023-12-30,True,0,False,,,,,,,1,True,EQP-CY-03259,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 1856",Operating Without Certificate,1990-04-05,1990-04-05,True,470.0
1019 TERRY AVE,1019 TERRY AVE,3.0,5,2023-03-06,2025-04-07,4,2023-07-21,2026-01-24,True,1,True,EQP-CY-01414,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 2813",Active,1989-08-17,1989-08-17,0,False,,,,,,,True,137.0
1020 SENECA ST,1020 SENECA ST,3.0,1,2024-12-18,2024-12-18,2,2020-12-28,2025-08-25,True,1,True,EQP-CY-03329,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 1818",Active,1990-04-05,1990-04-05,0,False,,,,,,,True,-1451.0
