address_norm,event_type,event_datetime,raw_address,DISTRICT,complaint_description,conveyance_active_flag,conveyance_active_record_count,conveyance_active_record_numbers,conveyance_active_record_types,conveyance_active_property_project_names,conveyance_active_statuses,conveyance_active_first_created_date,conveyance_active_last_created_date,conveyance_no_cert_flag,conveyance_no_cert_record_count,conveyance_no_cert_record_numbers,conveyance_no_cert_record_types,conveyance_no_cert_property_project_names,conveyance_no_cert_statuses,conveyance_no_cert_first_created_date,conveyance_no_cert_last_created_date
100 MELROSE AVE E,ELEVATOR_COMPLAINT,2019-07-11 00:00:00,100 MELROSE AVE E,3.0,"SHA Building-Both elevators are broken, one has been out for 3 months.",False,0,,,,,,,True,2,EQP-CY-04104 | EQP-CY-01382,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 3187 | 2-P - Cabled Elevator, City # 3188",Operating Without Certificate,1989-08-17,1990-10-26
100 MELROSE AVE E,ELEVATOR_COMPLAINT,2019-08-10 00:00:00,100 MELROSE AVE E,3.0,"SHA Building-Both elevators are broken, one has been out for 3 months.",False,0,,,,,,,True,2,EQP-CY-04104 | EQP-CY-01382,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 3187 | 2-P - Cabled Elevator, City # 3188",Operating Without Certificate,1989-08-17,1990-10-26
100 MELROSE AVE E,SFD_RESCUE_CALL,2022-03-09 18:42:00,100 Melrose Ave E,,,False,0,,,,,,,True,2,EQP-CY-04104 | EQP-CY-01382,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 3187 | 2-P - Cabled Elevator, City # 3188",Operating Without Certificate,1989-08-17,1990-10-26
100 MELROSE AVE E,SFD_RESCUE_CALL,2023-08-21 11:40:00,100 Melrose Ave E,,,False,0,,,,,,,True,2,EQP-CY-04104 | EQP-CY-01382,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 3187 | 2-P - Cabled Elevator, City # 3188",Operating Without Certificate,1989-08-17,1990-10-26
100 MELROSE AVE E,SFD_RESCUE_CALL,2025-02-10 16:00:00,100 Melrose Ave E,,,False,0,,,,,,,True,2,EQP-CY-04104 | EQP-CY-01382,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 3187 | 2-P - Cabled Elevator, City # 3188",Operating Without Certificate,1989-08-17,1990-10-26
100 TAYLOR AVE N,SFD_RESCUE_CALL,2021-11-25 16:20:00,100 Taylor Ave N,,,True,2,EQP-CY-07101 | EQP-CY-07100,Conveyance Equipment Certification,"2-A - Cabled Elevator, City # 9602 | 1-A - Cabled Elevator, City # 9600",Active,2009-06-22,2009-06-22,False,0,,,,,,
100 TAYLOR AVE N,SFD_RESCUE_CALL,2022-05-13 14:31:00,100 Taylor Ave N,,,True,2,EQP-CY-07101 | EQP-CY-07100,Conveyance Equipment Certification,"2-A - Cabled Elevator, City # 9602 | 1-A - Cabled Elevator, City # 9600",Active,2009-06-22,2009-06-22,False,0,,,,,,
100 TAYLOR AVE N,SFD_RESCUE_CALL,2022-10-22 22:37:00,100 Taylor Ave N,,,True,2,EQP-CY-07101 | EQP-CY-07100,Conveyance Equipment Certification,"2-A - Cabled Elevator, City # 9602 | 1-A - Cabled Elevator, City # 9600",Active,2009-06-22,2009-06-22,False,0,,,,,,
100 TAYLOR AVE N,SFD_RESCUE_CALL,2023-11-24 09:34:00,100 Taylor Ave N,,,True,2,EQP-CY-07101 | EQP-CY-07100,Conveyance Equipment Certification,"2-A - Cabled Elevator, City # 9602 | 1-A - Cabled Elevator, City # 9600",Active,2009-06-22,2009-06-22,False,0,,,,,,
100 TAYLOR AVE N,SFD_RESCUE_CALL,2025-03-27 18:14:00,100 Taylor Ave N,,,True,2,EQP-CY-07101 | EQP-CY-07100,Conveyance Equipment Certification,"2-A - Cabled Elevator, City # 9602 | 1-A - Cabled Elevator, City # 9600",Active,2009-06-22,2009-06-22,False,0,,,,,,
