address_norm,example_raw_address,DISTRICT,elevator_complaint_count,first_elevator_complaint_date,last_elevator_complaint_date,sfd_elevator_rescue_count,first_rescue_date,last_rescue_date,sfd_rescue_at_address_flag,conveyance_active_record_count,conveyance_active_flag,conveyance_active_record_numbers,conveyance_active_record_types,conveyance_active_property_project_names,conveyance_active_statuses,conveyance_active_first_created_date,conveyance_active_last_created_date,conveyance_no_cert_record_count,conveyance_no_cert_flag,conveyance_no_cert_record_numbers,conveyance_no_cert_record_types,conveyance_no_cert_property_project_names,conveyance_no_cert_statuses,conveyance_no_cert_first_created_date,conveyance_no_cert_last_created_date,has_both_complaint_and_rescue_flag,days_first_complaint_to_first_rescue
607 3RD AVE,607 3RD AVE,1.0,1,2024-06-24,2024-06-24,72,2021-02-22,2025-12-03,True,1,True,EQP-CY-03742,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 638",Active,1990-07-17,1990-07-17,0,False,,,,,,,True,-1218.0
223 YESLER WAY,223 YESLER WAY,1.0,9,2015-10-29,2024-07-24,27,2020-07-25,2026-01-20,True,2,True,EQP-CY-01431 | EQP-CY-01430,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 3434 | 1-P - Cabled Elevator, City # 3433",Active,1989-08-17,1989-08-17,0,False,,,,,,,True,1731.0
4545 42ND AVE SW,4545 42ND AVE SW,1.0,9,2015-12-18,2023-07-27,21,2021-05-12,2025-12-24,True,2,True,EQP-CY-02705 | EQP-CY-02704,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 4381 | 1-P - Cabled Elevator, City # 3894",Active,1990-01-31,1990-01-31,0,False,,,,,,,True,1972.0
80 S MAIN ST,80 S MAIN ST,1.0,2,2024-02-19,2024-09-10,13,2019-12-14,2023-05-04,True,1,True,EQP-CY-08464,Conveyance Equipment Certification,"1-P - Cabled Elevator, City # 11750",Active,2016-05-25,2016-05-25,0,False,,,,,,,True,-1528.0
204 3RD AVE S,204 3RD AVE S,1.0,1,2018-10-04,2018-10-04,13,2021-03-09,2025-12-13,True,1,True,EQP-CY-04642,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 6407",Active,1994-04-21,1994-04-21,0,False,,,,,,,True,887.0
6420 CALIFORNIA AVE SW,6420 CALIFORNIA AVE SW,1.0,2,2025-11-28,2025-12-02,12,2021-08-03,2025-11-22,True,2,True,EQP-CY-03267 | EQP-CY-03266,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 3109 | 1-P - Cabled Elevator, City # 3108",Active,1990-04-05,1990-04-05,0,False,,,,,,,True,-1578.0
6520 35TH AVE SW,6520 35TH AVE SW,1.0,4,2018-05-22,2024-02-07,9,2021-02-21,2025-10-28,True,1,True,EQP-CY-01478,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 3731",Active,1989-09-04,1989-09-04,0,False,,,,,,,True,1006.0
107 CHERRY ST,107 CHERRY ST,1.0,4,2017-10-17,2023-04-15,8,2020-09-21,2023-05-09,True,2,True,EQP-CY-00370 | EQP-CY-00369,Conveyance Equipment Certification,"2-P - Cabled Elevator, City # 894 | 1-P - Cabled Elevator, City # 893",Active,1989-02-24,1989-02-24,0,False,,,,,,,True,1070.0
9000 20TH AVE SW,9000 20TH AVE SW,1.0,3,2017-02-06,2017-03-01,7,2021-12-08,2025-10-17,True,0,False,,,,,,,1,True,EQP-CY-00879,Conveyance Equipment Certification,"1-P - Hydraulic Elevator, City # 3059",Operating Without Certificate,1989-06-14,1989-06-14,True,1766.0
212 ALASKAN WAY S,212 ALASKAN WAY S,1.0,4,2022-09-03,2024-12-24,6,2022-06-17,2023-05-16,True,0,False,,,,,,,2,True,EQP-CY-06214 | EQP-CY-06213,Conveyance Equipment Certification,"Accessibility Lift (vertical included), City # 8444 | 1P - Hydraulic Elevator, City # 8441",Operating Without Certificate,2004-05-12,2004-05-12,True,-78.0
115 PREFONTAINE PL S,115 PREFONTAINE PL S,1.0,1,2017-07-21,2017-07-21,6,2020-04-16,2025-10-15,True,1,True,EQP-CY-06266,Conveyance Equipment Certification,"1 - Cabled Elevator, City # 8299",Active,2004-06-17,2004-06-17,0,False,,,,,,,True,1000.0
3421 SW ROXBURY ST,3421 SW ROXBURY ST,1.0,1,2022-07-29,2022-07-29,5,2022-03-10,2024-09-26,True,1,True,EQP-CY-03435,Conveyance Equipment Certification,"P - Hydraulic Elevator, City # 4207",Active,1990-05-10,1990-05-10,0,False,,,,,,,True,-141.0
4550 42ND AVE SW,4550 42nd AVE SW,1.0,1,2025-09-09,2025-09-09,5,2021-06-11,2025-12-20,True,0,False,,,,,,,0,False,,,,,,,True,-1551.0
4710 40TH AVE SW,4710 40TH AVE SW,1.0,1,2024-11-13,2024-11-13,5,2020-10-08,2025-05-11,True,0,False,,,,,,,0,False,,,,,,,True,-1497.0
