RecordNum,RecordType,RecordTypeMapped,RecordTypeDesc,Description,OpenDate,LastInspDate,LastInspResult,StatusCurrent,OriginalAddress1,OriginalCity,OriginalState,OriginalZip,Link,Latitude,Longitude,Location1
003948-04CP,Complaint,Request,,HAS NO HOT WATER IN KITCHEN SINK.,2004-09-03,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003948-04CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
1003449-VI,Notice of Violation,Case,,HAS NO HOT WATER IN KITCHEN SINK.,2004-09-17,POINT (-122.32851868 47.59982559),Compliance Achieved,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1003449-VI,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
002896-05CP,Complaint,Request,,Roach infestation in unit. Rodent and roach infestation thru out building. Water pressure thru out unit is low. Sometimes no hot water available. Best time to call,2005-06-21,POINT (-122.32851868 47.59982559),,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002896-05CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
005154-05CP,Complaint,Request,,No heat in the apartment. Told by management that tenants should buy their own space heaters. Forced to turn oven from the stove to try and keep warm.  Apartment is infested with roaches.,2005-12-15,POINT (-122.32851868 47.59982559),,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005154-05CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
003132-07CP,Complaint,Request,Weeds,Laurel Hedge growing over the sidewalk. It is 5-6feet high and droops over the sidewalk in the way of pedestrians.,2007-06-12,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=003132-07CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
1018788-VI,Notice of Violation,Case,,,2009-03-19,POINT (-122.32851868 47.59982559),Compliance Achieved,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1018788-VI,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
002645-10CP,Complaint,Request,Construction,,2010-05-27,POINT (-122.32851868 47.59982559),Completed,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002645-10CP,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
1022206-VI,Notice of Violation,Case,,,2010-04-08,POINT (-122.32851868 47.59982559),Compliance Achieved,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1022206-VI,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
1022640-VI,Notice of Violation,Case,Construction,,2010-05-27,POINT (-122.32851868 47.59982559),Compliance Achieved,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1022640-VI,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
1024370-TR,Tenant Relocation,Request,,Application for a Tenant Relocation License. Total units: 240; total units occupied: 240. Substantial rehabilitation.,2010-11-10,POINT (-122.32851868 47.59982559),,Completed,308 4TH AVE S,SEATTLE,WA,98104,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1024370-TR,47.59982559,-122.32851868,"(47.59982559, -122.32851868)"
