Created Date,Record Number,Record Type,Status,Address,Property/Project Name,Description,Expiration Date,,,,,,,,
3/7/2025,002594-25CP,Code Compliance Complaint,Under Investigation,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG-RECORD: 001-0100410,,,,,,,,,
1/28/2025,001138-25CP,Code Compliance Complaint,Under Investigation,308    4TH  AVE  S  SEATTLE,,Housing Complaint / Pre-Reg 001-0002689,,,,,,,,,
1/14/2025,SUCA-00026-25,SDOT Street Use Case,Closed,308    4TH  AVE  S  SEATTLE,,Unpermitted areaway in ROW (ARW-174).,,,,,,,,,
1/13/2025,000580-25CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,POTA Complaint,,,,,,,,,
12/18/2024,014064-24CP,Code Compliance Complaint,Open Duplicate,308    4TH  AVE  S  SEATTLE,,Housing Complaint / Pre-Reg 001-0002689,,,,,,,,,
12/17/2024,014048-24CP,Code Compliance Complaint,Under Investigation,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG-RECORD: 001-0002689 (see attached documents),,,,,,,,,
10/28/2024,SUPSM0009198,Private Structures/Uses,Issued,308    4TH  AVE  S  SEATTLE,Areaway | ARW-174 | 4th Ave S & S Main St,- Inactive areaway (ARW-174) spanning approximately 130-ft on S Main St and approximately 117-ft on 4th Ave S. A 9-ft x 10-ft space is accessible on S Main St.,,,,,,,,,
9/10/2024,010028-24CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,HOUSING COMPLAINT / PRE-REG #001-0002689Scheduled inspection for 10-16-24 at 10am. No show on scheduled inspection. I called twice and waited in area for 15min. Closing with no access no further contact.,,,,,,,,,
4/17/2024,004107-24CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,POTA; JCEOTenant received 14 Day Notice. S&C filed in KCSC.,,,,,,,,,
3/13/2024,002769-24CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,HOUSING COMPLAINT - RRIO #001-0100410,,,,,,,,,
2/6/2024,001478-24CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,"POTA, RENTAG",,,,,,,,,
12/15/2023,014525-23CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,admin closure: Unable to process - no contact information provided,,,,,,,,,
11/21/2023,1057226-POTA-VI,EDRA Notice of Violation,Initiated,308    4TH  AVE  S  SEATTLE,,EDRA - NOV,,,,,,,,,
11/20/2023,1057217-POTA-VI,EDRA Notice of Violation,Initiated,308    4TH  AVE  S  SEATTLE,,EDRA,,,,,,,,,
11/20/2023,1057223-POTA-VI,EDRA Notice of Violation,Initiated,308    4TH  AVE  S  SEATTLE,,EDRA,,,,,,,,,
11/17/2023,1057203-POTA-VI,EDRA Notice of Violation,Initiated,308    4TH  AVE  S  SEATTLE,,EDRA,,,,,,,,,
11/13/2023,013374-23CP,Code Compliance Complaint,Under Investigation,308    4TH  AVE  S  SEATTLE,,POTA,,,,,,,,,
10/5/2023,003-0042419,Rental Property Late Registration Violation,Compliance Achieved,308    4TH  AVE  S  SEATTLE,Overdue Renewal,,,,,,,,,,
9/6/2023,010576-23CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,POTA,,,,,,,,,
8/17/2023,009780-23CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,HOUSINGComplainant says that her and her family were moved into another unit and management has already had pest service to their place 2 times in the couple weeks they have been in the unit. She says elevator is currently working as well. Ok to withdraw complaint due to no current violation.,,,,,,,,,
8/14/2023,009622-23CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,Housing/POTA ComplaintComplainant was unable to make scheduled inspection due to Covid and was in Virginia. I asked her to call for reinspection. No further contact has been made.,,,,,,,,,
8/12/2023,009577-23CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,Housing Complaint- REG # 001-0100410Spoke with complainant and elevator is up and working now. Withdrawing complaint.,,,,,,,,,
7/10/2023,007521-23CP,Code Compliance Complaint,Under Investigation,308    4TH  AVE  S  SEATTLE,,POTA; RELATED RECORD 006806-23CP,,,,,,,,,
6/22/2023,006806-23CP,Code Compliance Complaint,Under Investigation,308    4TH  AVE  S  SEATTLE,,POTA,,,,,,,,,
5/31/2023,00237-23-UN-001,Economic Displacement Relocation Assistance (EDRA) Application,Completed,308    4TH  AVE  S  SEATTLE,,EDRA,,,,,,,,,
5/30/2023,005651-23CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,POTA INRENT EDRA,,,,,,,,,
5/8/2023,004733-23CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,HOUSING,,,,,,,,,
5/8/2023,00161-23-UN-002,Economic Displacement Relocation Assistance (EDRA) Application,Administratively Closed,308    4TH  AVE  S  SEATTLE,,,,,,,,,,,
5/2/2023,004558-23CP,Code Compliance Complaint,Closed,308    4TH  AVE  S  SEATTLE,,HOUSING - RRIO REG: 001-0100410,,,,,,,,,
4/27/2023,004512-23CP,Code Compliance Complaint,Completed,308    4TH  AVE  S  SEATTLE,,POTAIssues addressed in 004558-23CP. Closing as duplicate.,,,,,,,,,
4/12/2023,00211-23-UN-001,Economic Displacement Relocation Assistance (EDRA) Application,Submitted,308    4TH  AVE  S  SEATTLE,,,,,,,,,,,
