Case,RecordNum,Address,Status,InspResult,OpenDate,Link
ADDISON,001482-19CP,308 4TH AVE S,Completed,Completed,2019 Feb 28 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001482-19CP
ADDISON,004107-24CP,308 4TH AVE S,Closed,,2024 Apr 17 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004107-24CP
ADDISON,007784-25CP,308 4TH AVE S,Completed,,2025 Jun 25 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007784-25CP
ADDISON,007402-17CP,308 4TH AVE S,Completed,,2017 Oct 13 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007402-17CP
EVERSPRING,004980-18CP,8201 AURORA AVE N,Completed,,2018 May 25 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004980-18CP
EVERSPRING,007153-20CP,8201 AURORA AVE N,Closed,,2020 Aug 18 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007153-20CP
EVERSPRING,007155-20CP,8201 AURORA AVE N,Closed,,2020 Aug 18 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007155-20CP
EVERSPRING,007158-20CP,8201 AURORA AVE N,Closed,,2020 Aug 18 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007158-20CP
LAKE_WASH,000667-24CP,9061 SEWARD PARK AVE S,Closed,,2024 Jan 17 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000667-24CP
LAKE_WASH,000589-24CP,9061 SEWARD PARK AVE S,Under Investigation,Completed,2024 Jan 16 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=000589-24CP
LAKE_WASH,007351-24CP,9061 SEWARD PARK AVE S,Completed,,2024 Jul 09 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=007351-24CP
LAKE_WASH,004554-25CP,9061 SEWARD PARK AVE S,Completed,,2025 Apr 21 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=004554-25CP
LOWELL,002076-23CP,1110 8TH AVE,Completed,Completed,2023 Feb 27 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002076-23CP
LOWELL,1055976-VI,1110 8TH AVE,Completed,Compliance Achieved,2023 May 10 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1055976-VI
LOWELL,005920-24CP,1110 8TH AVE,Completed,,2024 Jun 05 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005920-24CP
LOWELL,1058786-VI,1110 8TH AVE,Completed,Compliance Achieved,2024 Jul 05 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1058786-VI
GALLERY,009255-24CP,2911 2ND AVE,Completed,,2024 Aug 20 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009255-24CP
GALLERY,014005-24CP,2911 2ND AVE,Under Investigation,,2024 Dec 16 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=014005-24CP
GALLERY,002345-25CP,2911 2nd AVE,Under Investigation,,2025 Mar 03 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002345-25CP
GALLERY,009416-23CP,2911 2ND AVE,Completed,,2023 Aug 09 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=009416-23CP
LARKSPUR,001105-13CP,1727 SUMMIT AVE,Completed,Completed,2013 Jan 10 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001105-13CP
LARKSPUR,001188-13CP,1727 SUMMIT AVE,Completed,Completed,2013 Jan 17 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=001188-13CP
LARKSPUR,002728-13CP,1727 SUMMIT AVE,Completed,Completed,2013 May 29 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=002728-13CP
LARKSPUR,1028943-VI,1727 SUMMIT AVE,Completed,Compliance Achieved,2013 Jan 18 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=1028943-VI
OLIVIAN,005234-24CP,809 OLIVE WAY,Completed,Completed,2024 May 18 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005234-24CP
OLIVIAN,011325-24CP,809 OLIVE WAY,Completed,,2024 Oct 05 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=011325-24CP
OLIVIAN,014347-24CP,809 OLIVE WAY,Completed,,2024 Dec 27 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=014347-24CP
OLIVIAN,005967-16CP,809 OLIVE WAY,Completed,,2016 Aug 23 12:00:00 AM,https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=005967-16CP
