category,rrio_status,address,district,lt_complaints,verified,unverified,unverified_pct,open,sha_flag,units,contact,reg_number
UNREGISTERED,NOT REGISTERED,14100 LINDEN AVE N,D5,48,7,34,70.8,7,YES,,,
UNREGISTERED,NOT REGISTERED,1110 8TH AVE,D7,47,12,33,70.2,2,,,,
UNREGISTERED,NOT REGISTERED,800 JEFFERSON ST,D2,32,19,11,34.4,2,YES,,,
UNREGISTERED,NOT REGISTERED,6420 CALIFORNIA AVE SW,D1,29,3,21,72.4,5,YES,,,
UNREGISTERED,NOT REGISTERED,817 A 13TH AVE,D3,23,2,15,65.2,6,,,,
UNREGISTERED,NOT REGISTERED,12000 15TH AVE NE,D5,23,3,14,60.9,6,YES,,,
UNREGISTERED,NOT REGISTERED,109 23RD AVE E,D3,22,5,13,59.1,4,,,,
UNREGISTERED,NOT REGISTERED,610 HARVARD AVE E,D3,22,4,18,81.8,0,YES,,,
UNREGISTERED,NOT REGISTERED,1615 19TH AVE,D3,22,4,15,68.2,3,,,,
UNREGISTERED,NOT REGISTERED,2870 S HANFORD ST,D2,21,1,19,90.5,1,,,,
UNREGISTERED,NOT REGISTERED,1700 17TH AVE,D3,21,5,12,57.1,4,YES,,,
UNREGISTERED,NOT REGISTERED,11008 DAYTON AVE N,D5,21,1,20,95.2,0,,,,
UNREGISTERED,NOT REGISTERED,2121 26TH AVE S,D2,20,0,18,90.0,2,,,,
UNREGISTERED,NOT REGISTERED,1812 12TH AVE,D3,19,0,17,89.5,2,,,,
UNREGISTERED,NOT REGISTERED,100 MELROSE AVE E,D3,19,4,8,42.1,7,YES,,,
UNREGISTERED,NOT REGISTERED,704 SPRING ST,D7,19,2,10,52.6,7,,,,
UNREGISTERED,NOT REGISTERED,3005 1ST AVE,D7,19,1,18,94.7,0,,,,
UNREGISTERED,NOT REGISTERED,609 YESLER WAY,D2,18,3,11,61.1,4,YES,,,
UNREGISTERED,NOT REGISTERED,525 14TH AVE E,D3,17,5,9,52.9,3,YES,,,
UNREGISTERED,NOT REGISTERED,8201 AURORA AVE N,D6,17,1,16,94.1,0,,,,
UNREGISTERED,NOT REGISTERED,420 WALL ST,D7,17,2,13,76.5,2,,,,
UNREGISTERED,NOT REGISTERED,801 SPRING ST,D7,17,4,10,58.8,3,,,,
UNREGISTERED,NOT REGISTERED,8640 25TH AVE SW,D1,16,0,16,100.0,0,,,,
UNREGISTERED,NOT REGISTERED,1319 E UNION ST,D3,16,7,9,56.2,0,,,,
UNREGISTERED,NOT REGISTERED,11050 8TH AVE NE,D5,16,2,11,68.8,3,YES,,,
UNREGISTERED,NOT REGISTERED,505 NE 70TH ST,D6,16,0,13,81.2,3,YES,,,
UNREGISTERED,NOT REGISTERED,4710 40TH AVE SW,D1,15,0,12,80.0,3,,,,
UNREGISTERED,NOT REGISTERED,5915 DELRIDGE WAY SW,D1,15,5,9,60.0,1,YES,,,
UNREGISTERED,NOT REGISTERED,3325 BURKE AVE N,D4,15,1,10,66.7,4,,,,
UNREGISTERED,NOT REGISTERED,2215 1ST AVE,D7,15,5,9,60.0,1,YES,,,
UNREGISTERED,NOT REGISTERED,9032 17TH AVE SW,D1,14,5,9,64.3,0,,,,
UNREGISTERED,NOT REGISTERED,2803 S ORCAS ST,D2,14,0,14,100.0,0,YES,,,
UNREGISTERED,NOT REGISTERED,4730 32ND AVE S,D2,14,2,8,57.1,4,,,,
UNREGISTERED,NOT REGISTERED,4220 S OTHELLO ST,D2,14,0,12,85.7,2,,,,
UNREGISTERED,NOT REGISTERED,1020 E DENNY WAY,D3,14,3,10,71.4,1,,,,
UNREGISTERED,NOT REGISTERED,1408 30TH AVE,D3,14,2,12,85.7,0,,,,
UNREGISTERED,NOT REGISTERED,110 W OLYMPIC PL,D7,14,8,4,28.6,2,YES,,,
UNREGISTERED,NOT REGISTERED,4730 CALIFORNIA AVE SW,D1,13,0,11,84.6,2,,,,
UNREGISTERED,NOT REGISTERED,117 18TH AVE,D3,13,0,10,76.9,3,,,,
UNREGISTERED,NOT REGISTERED,1819 NAGLE PL,D3,13,1,10,76.9,2,,,,
