district_file,RecordNum,District,StatusCurrent,status_link,intake_date,intake_by,assigned_date,assigned_to,initial_investigation,initial_investigation_date,initial_investigation_by,pota_insp,pota_insp_date,pota_insp_by,closed_date,closed_by,result_bucket,timeline_notes
District_7_ALL_ENRICHED.json,000101-22CP,7,Completed,https://cosaccela.seattle.gov/Portal/cap/CapHome.aspx?module=SDCI&TabName=SDCI,2022 Jan 01 12:00:00 AM,,,,,,,,,,,,,Use RecordNum in SDCI portal Status tab; expand arrows for who/what/when/result.
District_7_ALL_ENRICHED.json,000101-25CP,7,Closed,https://cosaccela.seattle.gov/Portal/cap/CapHome.aspx?module=SDCI&TabName=SDCI,2025 Jan 01 12:00:00 AM,,,,,,,,,,,,,Use RecordNum in SDCI portal Status tab; expand arrows for who/what/when/result.
District_7_ALL_ENRICHED.json,000102-22CP,7,Closed,https://cosaccela.seattle.gov/Portal/cap/CapHome.aspx?module=SDCI&TabName=SDCI,2022 Jan 01 12:00:00 AM,,,,,,,,,,,,,Use RecordNum in SDCI portal Status tab; expand arrows for who/what/when/result.
District_7_ALL_ENRICHED.json,000105-21CP,7,Completed,https://cosaccela.seattle.gov/Portal/cap/CapHome.aspx?module=SDCI&TabName=SDCI,2021 Jan 01 12:00:00 AM,,,,,,,,,,,,,Use RecordNum in SDCI portal Status tab; expand arrows for who/what/when/result.
District_7_ALL_ENRICHED.json,000109-23CP,7,Completed,https://cosaccela.seattle.gov/Portal/cap/CapHome.aspx?module=SDCI&TabName=SDCI,2023 Jan 02 12:00:00 AM,,,,,,,,,,,,,Use RecordNum in SDCI portal Status tab; expand arrows for who/what/when/result.
District_7_ALL_ENRICHED.json,000111-21CP,7,Completed,https://cosaccela.seattle.gov/Portal/cap/CapHome.aspx?module=SDCI&TabName=SDCI,2021 Jan 02 12:00:00 AM,,,,,,,,,,,,,Use RecordNum in SDCI portal Status tab; expand arrows for who/what/when/result.
District_7_ALL_ENRICHED.json,000112-21CP,7,Closed,https://cosaccela.seattle.gov/Portal/cap/CapHome.aspx?module=SDCI&TabName=SDCI,2021 Jan 03 12:00:00 AM,,,,,,,,,,,,,Use RecordNum in SDCI portal Status tab; expand arrows for who/what/when/result.
District_7_ALL_ENRICHED.json,000112-23CP,7,Completed,https://cosaccela.seattle.gov/Portal/cap/CapHome.aspx?module=SDCI&TabName=SDCI,2023 Jan 02 12:00:00 AM,,,,,,,,,,,,,Use RecordNum in SDCI portal Status tab; expand arrows for who/what/when/result.
District_7_ALL_ENRICHED.json,000112-24CP,7,Completed,https://cosaccela.seattle.gov/Portal/cap/CapHome.aspx?module=SDCI&TabName=SDCI,2024 Jan 02 12:00:00 AM,,,,,,,,,,,,,Use RecordNum in SDCI portal Status tab; expand arrows for who/what/when/result.
District_7_ALL_ENRICHED.json,000116-24CP,7,Closed,https://cosaccela.seattle.gov/Portal/cap/CapHome.aspx?module=SDCI&TabName=SDCI,2024 Jan 02 12:00:00 AM,,,,,,,,,,,,,Use RecordNum in SDCI portal Status tab; expand arrows for who/what/when/result.
District_7_ALL_ENRICHED.json,000119-19CP,7,Closed,https://cosaccela.seattle.gov/Portal/cap/CapHome.aspx?module=SDCI&TabName=SDCI,2019 Jan 02 12:00:00 AM,,,,,,,,,,,,,Use RecordNum in SDCI portal Status tab; expand arrows for who/what/when/result.
District_7_ALL_ENRICHED.json,000120-21CP,7,Closed,https://cosaccela.seattle.gov/Portal/cap/CapHome.aspx?module=SDCI&TabName=SDCI,2020 Dec 30 12:00:00 AM,,,,,,,,,,,,,Use RecordNum in SDCI portal Status tab; expand arrows for who/what/when/result.
