STATUSCURRENT,status_normalized
CITATION ISSUED,Open / not in explicit closed set
CLOSED,Closed
COMPLETED,Closed
COMPLIANCE ACHIEVED,Closed
EO REPAIR RESTORE ISSUED,Open / not in explicit closed set
EO VACATE CLOSE ISSUED,Open / not in explicit closed set
HAZARD CORRECTION ORDER ISSUED,Open / not in explicit closed set
INITIATED,Open / not in explicit closed set
NOV ISSUED,Open / not in explicit closed set
OPEN DUPLICATE,Open / not in explicit closed set
REFERRED TO LAW,Open / not in explicit closed set
STOP WORK ISSUED,Open / not in explicit closed set
UNDER INVESTIGATION,Open / not in explicit closed set
WARNING,Open / not in explicit closed set
WITHDRAWN,Closed
