year,CP_total,VI_total,VI_as_pct_of_CP,CP_closed_norm,CP_open_norm,VI_closed_norm,VI_open_norm
2003,462,129,0.2792207792207792,462,0,129,0
2004,4066,1857,0.45671421544515495,4066,0,1856,1
2005,4299,1883,0.4380088392649453,4299,0,1882,1
2006,4717,2411,0.511129955480178,4717,0,2406,5
2007,5141,2076,0.40381248784283214,5141,0,2068,8
2008,5320,1567,0.2945488721804511,5320,0,1559,8
2009,4890,1403,0.2869120654396728,4890,0,1397,6
2010,4648,1219,0.262263339070568,4648,0,1214,5
2011,4439,1161,0.26154539310655556,4439,0,1147,14
2012,4658,1261,0.2707170459424646,4658,0,1252,9
2013,4946,1279,0.25859280226445613,4946,0,1250,29
2014,5651,1462,0.25871527163333924,5651,0,1420,42
2015,6873,1602,0.233085988651244,6873,0,1503,99
2016,7206,1417,0.19664168748265334,7206,0,1338,79
2017,7768,1673,0.2153707518022657,7768,0,1511,162
2018,10457,1306,0.1248924165630678,10448,9,1177,129
2019,11796,1423,0.12063411325873177,11787,9,1200,223
2020,10637,970,0.09119112531728871,10571,66,753,217
2021,10570,969,0.09167455061494796,10441,129,734,235
2022,13953,1009,0.07231419766358489,13182,771,682,327
2023,14673,1118,0.07619437061268998,13110,1563,772,346
2024,14288,1245,0.08713605823068309,12470,1818,731,514
2025,15973,969,0.060664871971451824,12002,3971,374,595
