STATUS,PIN,ADDRESS,CITY,ZIP,CADENCE_LLC,CURRENT_BUYER,PURCHASE_DATE,PURCHASE_PRICE,SELLER,LAND_VAL,IMPR_VAL,TOTAL_VAL,IMPR_FLAG,APT_UNITS,APT_STORIES,APT_YR_BUILT,HAS_ELEVATORS,COMPLAINTS_90D,TOTAL_COMPLAINTS,OPEN_UNRESOLVED,FLAGS,KNOWN_CASE,BUILDING_NAME,RANK,ACCT_NBR
CURRENT,8804901095,1727 SUMMIT AVE 98122,SEATTLE,98109,CRE SUMMIT LLC,CRE SUMMIT LLC,03/12/2024,6795000,SUMMIT HOUSE APARTMENTS REAL ESTATE INVESTMENT LIM,7440000,1000,7441000,SUSPICIOUS_$1000,50,5,1960,Y,16,97,0,KNOWN_CASE | SUSPICIOUS_IMPR_VALUE_1000,LARKSPUR - Chris Garvin/CRE Real Estate/Section 8 IMPR=$1000 RED FLAG,The LARKSPUR  APTS,57,880490109506
CURRENT,5247801990,315 MAYNARD AVE S 98104,SEATTLE WA,98109,CRE 315 MAYNARD LLC,CRE 315 MAYNARD LLC,07/30/2018,7588000,INTERNATIONAL APARTMENTS LLC,2304000,6224000,8528000,,54,4,1910,N,6,32,0,,,Mayn Suites formerly INTERNATIONAL APTS,707,524780199005
CURRENT,1978200230,1331 TERRY AVE 98101,SEATTLE WA,98109,CRE TERRI ANN LLC,CRE TERRI ANN LLC,08/27/2021,6297350,EVARONE JACK W+MARLENE I,4416000,1182000,5598000,,25,8,1967,Y,10,31,0,,,THE WILLIS APTS,186,197820023004
CURRENT,8080400055,1619 E JOHN ST 98112,SEATTLE,98116,CRE CENTRAL PARTNERS LLC,CRE CENTRAL PARTNERS LLC,07/22/2016,0,WHITWORTH APARTMENTS LLC,4320000,10343000,14663000,,54,4,1927,Y,4,30,0,,,WHITWORTH APTS,2099,808040005502
CURRENT,5649600335,5231 39TH AVE S 98118,SEATTLE WA,98109,CRE 39TH STREET PARTNERS LLC,CRE 39TH STREET PARTNERS LLC,09/24/2020,4894000,BIG BUY LLC,4236400,2087600,6324000,,30,2,1960,N,4,28,0,,,39th Ave Flats-formerly ISLANDER APTS,2118,564960033509
CURRENT,7663700821,3022 NE 140TH ST 98125,SEATTLE,98109,CRE NORTH SEATTLE PARTNERS LLC,CRE NORTH SEATTLE PARTNERS LLC,08/06/2021,11964000,MAUI GROUP LLC,3724000,8655000,12379000,,72,4,1985,Y,6,26,0,,,HILLCOURT APTS,727,766370082105
CURRENT,6003500115,1019 E PIKE ST 98122,SEATTLE WA,98109,CRE WINSTON LLC,CRE WINSTON LLC,12/18/2011,4344800,ANNE CRIPPEN MICHELSON LLC,3136300,3411700,6548000,,22,3,1905,N,7,23,0,,,Winston Apartments,520,600350011505
CURRENT,3879900650,702 2ND AVE W 98119,SEATTLE WA,98109,CRE HH PARTNERS LLC,CRE HH PARTNERS LLC,12/23/2021,13364200,ADDERS INVESTMENTS LTD (50%)+SHAPIRO HOLDINGS LTD,3900000,2013000,5913000,,24,3,1947,N,6,21,0,,,HAMRICK APTS 2,765,387990065006
CURRENT,1989201255,229 1ST AVE N 98109,BELLEVUE,98004,CADENCE PARTNERS LLC,CADENCE PARTNERS LLC,01/03/2014,0,CADRE WILMOT APARTMENTS LLC,3960000,1845000,5805000,,21,3,1908,N,3,10,0,,,THE UPTOWNER,5539,198920125509
CURRENT,9826701210,2014 E YESLER WAY 98122,SEATTLE WA,98109,CRE TIC LLC,CRE TIC LLC,10/03/2016,8439600,KALO TERRACE,1996800,11533200,13530000,,52,3,1909,N,3,10,0,,,Clairemont Apt Homes,5534,982670121002
CURRENT,3879901050,705 2ND AVE W 98119,SEATTLE WA,98109,CRE HH PARTNERS LLC,CRE HH PARTNERS LLC,12/23/2021,13364200,ADDERS INVESTMENTS LTD (50%)+SHAPIRO HOLDINGS LTD,3840000,2046000,5886000,,24,3,1946,N,3,9,0,,,HALMARK APTS-1,5842,387990105000
CURRENT,7904700145,4321 SW GENESEE ST 98116,SEATTLE,98109,CRE 4321 GENESEE LLC,CRE 4321 GENESEE LLC,08/15/2018,5595000,VORNBROCK J GREG,2169000,3214000,5383000,,19,4,1969,Y,5,8,0,,,THE DEERING APARTMENTS,1774,790470014503
