LANDLORD_RANK,OWNER,ADDRESS,BUILDING_NAME,ZIP,APT_UNITS,APT_YR_BUILT,APT_STORIES,TOTAL_COMPLAINTS,COMPLAINTS_90D,OPEN_UNRESOLVED,FIRST_COMPLAINT,LAST_COMPLAINT,WORST_90D_WINDOW,FLAGS,KNOWN_CASE,LAND_VALUE,IMPROVEMENT_VALUE,TOTAL_ASSESSED_VALUE,LAST_SALE_DATE,LAST_SALE_PRICE,PREVIOUS_OWNER,SALE_HISTORY,PIN
1,UNKNOWN / NOT IN SALE RECORDS,2000 3RD AVE,,,,,,117,34,0,2009-11-17,2024-10-20,2023-03-22 to 2023-06-20,NO_PARCEL_RECORD | EXTREME_VOLUME,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,901 NW MARKET ST,,,,,,102,94,0,2021-10-11,2025-04-14,2024-09-09 to 2024-12-08,NO_PARCEL_RECORD | EXTREME_VOLUME,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,700 5TH AVE,SEATTLE MUNICIPAL TOWER,98104,,,,84,14,0,2005-10-27,2025-10-09,2018-09-13 to 2018-12-12,,,24576000,,24576000,,,,,942000710
1,UNKNOWN / NOT IN SALE RECORDS,1820 MINOR AVE,BALFOUR PLACE APARTMENTS-HUD governed,98101,,,,83,11,0,2005-11-07,2025-11-05,2018-09-13 to 2018-12-12,,,36540000,16500000,53040000,,,,,660002340
1,UNKNOWN / NOT IN SALE RECORDS,8640 25TH AVE SW,,,,,,74,62,0,2016-07-26,2025-08-21,2025-01-13 to 2025-04-13,NO_PARCEL_RECORD | EXTREME_VOLUME,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,14100 LINDEN AVE N,,,,,,73,7,0,2010-12-20,2025-06-27,2022-08-03 to 2022-11-01,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,4545 42ND AVE SW,ALASKA HOUSE,98116,,,,69,9,0,2006-02-15,2024-12-20,2021-05-25 to 2021-08-23,,,4577500,12599000,17176500,,,,,952006465
1,UNKNOWN / NOT IN SALE RECORDS,2224 2ND AVE,,,,,,68,20,0,2005-11-10,2025-05-21,2024-09-16 to 2024-12-15,NO_PARCEL_RECORD | EXTREME_VOLUME,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,1103 NW MARKET ST,,,,,,67,18,0,2018-06-26,2025-05-07,2020-02-14 to 2020-05-14,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,8856 20TH AVE SW,,,,,,67,9,0,2005-03-31,2025-08-30,2024-08-03 to 2024-11-01,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,1020 BELLEVUE CT E,,,,,,65,16,0,2008-02-08,2025-07-30,2023-06-01 to 2023-08-30,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,3005 1ST AVE,ECONET BUILDING,98121,,,,63,10,0,2004-11-16,2024-11-23,2020-04-22 to 2020-07-21,,,11488500,29075400,40563900,,,,,695000135
1,UNKNOWN / NOT IN SALE RECORDS,823 MADISON ST,,,,,,63,8,0,2005-12-29,2024-01-18,2022-06-10 to 2022-09-08,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,1622 SUNSET AVE SW,1622 SUNSET AVE SW,98116,,,,61,22,0,2021-02-19,2022-08-16,2021-09-01 to 2021-11-30,EXTREME_VOLUME,,171200,1161800,1333000,,,,,7804490000
1,UNKNOWN / NOT IN SALE RECORDS,2911 2ND AVE,GALLERY BELLTOWN,98121,,2009,1,57,16,0,2008-04-14,2025-03-03,2021-05-15 to 2021-08-13,,,51500,218500,270000,,,,,2688700000
1,UNKNOWN / NOT IN SALE RECORDS,4208 RAINIER AVE S,,,,,,57,13,0,2004-02-12,2024-03-25,2024-02-21 to 2024-05-21,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,800 JEFFERSON ST,JEFFERSON TERRACE,98104,,1967,17,57,8,0,2006-05-05,2025-10-26,2025-04-04 to 2025-07-03,,,14441000,40013600,54454600,,,,,3682500000
1,UNKNOWN / NOT IN SALE RECORDS,809 OLIVE WAY,The Olivian,98101,,,,55,13,0,2006-09-25,2025-03-05,2024-05-07 to 2024-08-05,,,20398000,84602000,105000000,,,,,660000835
1,UNKNOWN / NOT IN SALE RECORDS,14002 LINDEN AVE N,INTERURBAN SENIOR LIVING,98133,,2012,7,55,13,0,2012-05-01,2025-04-07,2024-09-24 to 2024-12-23,,,359300,5807000,6166300,,,,,3603900000
1,UNKNOWN / NOT IN SALE RECORDS,1116 15TH AVE E,,98112,,,,54,43,0,2023-02-08,2025-05-18,2023-02-08 to 2023-05-09,EXTREME_VOLUME,,896000,877000,1773000,,,,,1337800720
1,UNKNOWN / NOT IN SALE RECORDS,1823 TERRY AVE,ASPIRA APARTMENTS,98101,,,,54,14,0,2008-07-17,2025-10-31,2023-10-30 to 2024-01-28,,,30621000,134611000,165232000,,,,,660001170
1,UNKNOWN / NOT IN SALE RECORDS,2106 RAINIER AVE S,,,,,,54,8,0,2004-06-07,2025-10-21,2024-10-08 to 2025-01-06,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,8842 NESBIT AVE N,,,,,,53,12,0,2008-05-28,2025-06-13,2023-05-17 to 2023-08-15,NO_PARCEL_RECORD,,,,,,,,,
1,UNKNOWN / NOT IN SALE RECORDS,913 S JACKSON ST,THAI BINH APARTMENTS - RENT RESTRICTED,98104,,2018,6,53,10,0,2013-10-14,2025-08-03,2023-03-31 to 2023-06-29,,,77100,378600,455700,,,,,8594200000
