ALL_RECORDS,CP_COUNT,VI_COUNT,CT_COUNT,CP_PCT_OF_ALL,VI_PCT_OF_ALL,VI_AS_PCT_OF_CP,CP_CLOSED_ONLY,CP_COMPLETED_ONLY,CP_CLOSED_OR_COMPLETED,CP_CLOSED_OR_COMPLETED_NO_INSP_DATE,CP_CLOSED_OR_COMPLETED_NO_INSP_RESULT,CP_CLOSED_OR_COMPLETED_BOTH_MISSING,CP_CLOSED_OR_COMPLETED_BOTH_PRESENT,CP_CLOSED_OR_COMPLETED_DATE_ONLY_PRESENT,CP_CLOSED_OR_COMPLETED_RESULT_ONLY_PRESENT,CP_UNDER_INVESTIGATION,CP_OPEN_DUPLICATE,CP_INITIATED,CP_RESULT_ADMIN_CLOSURE,CP_RESULT_NO_VIOLATION,VI_COMPLETED_ONLY,VI_COMPLIANCE_ACHIEVED,VI_WITHDRAWN,VI_ACTIVE_NONFINAL,VI_INITIATED,VI_UNDER_INVESTIGATION,VI_NOV_ISSUED,VI_NO_INSP_DATE,VI_NO_INSP_RESULT,VI_BOTH_MISSING,VI_BOTH_PRESENT,VI_RESULT_ADMIN_CLOSURE,VI_RESULT_NO_VIOLATION,LT_STRICT_CONTAINS_LANDLORD_TENANT,LT_EMERGENCY_ONLY,LT_BLANK_RECORDTYPEDESC,OPENYEAR
9655,6873,1602,933,0.7118591403417918,0.1659243915069912,0.233085988651244,50,6823,6873,1444,1444,1444,5429,0,0,0,0,0,0,0,1503,0,0,99,35,1,37,257,257,257,1345,4,0,2,143,1185,2015
9890,7206,1417,1053,0.7286147623862488,0.14327603640040446,0.19664168748265334,87,7119,7206,1881,1881,1881,5325,0,0,0,0,0,1,0,1338,0,0,79,25,3,37,241,241,241,1176,3,3,31,92,1233,2016
10689,7768,1673,1035,0.7267284123865656,0.15651604453176163,0.2153707518022657,214,7554,7768,2088,2088,2088,5680,0,0,0,0,0,0,1,1510,0,1,162,36,4,71,412,412,412,1261,10,1,350,127,1394,2017
12814,10457,1306,817,0.8160605587638521,0.10191977524582488,0.1248924165630678,2109,8339,10448,6299,6299,6299,4149,0,0,3,6,0,3,21,1171,6,0,129,19,20,69,489,489,489,817,16,8,1965,74,1422,2018
14524,11796,1423,1021,0.8121729551087855,0.0979757642522721,0.12063411325873177,2657,9130,11787,7159,7159,7159,4628,0,0,6,3,0,5,30,1192,7,1,223,33,20,116,281,281,281,1142,31,14,2018,44,1681,2019
12425,10637,970,564,0.8560965794768611,0.07806841046277666,0.09119112531728871,2623,7948,10571,7089,7089,7089,3482,0,0,55,11,0,13,27,742,5,6,217,68,7,105,301,301,301,669,34,17,1882,37,1993,2020
12338,10570,969,503,0.8567028691846328,0.07853785054303777,0.09167455061494796,1838,8603,10441,7061,7061,7061,3380,0,0,92,37,0,2,19,715,10,9,235,59,12,127,367,367,367,602,66,10,1970,24,2711,2021
15413,13953,1009,233,0.9052747680529423,0.06546421851683644,0.07231419766358489,2435,10747,13182,10168,10168,10168,3014,0,0,673,98,0,1,20,658,10,14,327,80,13,170,420,420,420,589,24,7,2947,51,2901,2022
16477,14673,1118,522,0.8905140498877223,0.0678521575529526,0.07619437061268998,2354,10756,13110,9515,9515,9515,3595,0,0,1486,75,2,5,73,749,12,11,346,81,31,157,351,351,351,767,20,6,3260,105,2299,2023
16395,14288,1245,720,0.871485208905154,0.07593778591033852,0.08713605823068309,1883,10587,12470,7886,7886,7886,4584,0,0,1635,183,0,8,55,720,3,8,514,125,39,245,419,419,419,826,2,12,3033,174,2495,2024
17729,15973,969,631,0.9009532404534942,0.05465621298437588,0.060664871971451824,1962,10040,12002,8228,8228,8228,3774,0,0,3585,343,43,41,56,366,7,1,595,130,55,286,302,302,302,667,4,2,2853,128,3205,2025
